Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Greene, OH,88.4,7,2.4
Guernsey, OH,96.1,1.7,0.3
Hamilton, OH,71.6,24.9,1.9
Hancock, OH,95.3,1.7,1.8
Hardin, OH,97.1,1.1,0.6
Harrison, OH,95.9,2.6,0.1
Henry, OH,97.3,0.9,0.8
Highland, OH,96.4,1.7,0.5
Hocking, OH,96.7,1.3,0.4
Holmes, OH,99,0.4,0.1
Huron, OH,97,1.2,0.5
Jackson, OH,97.5,0.8,0.3
Jefferson, OH,92.3,5.6,0.5
Knox, OH,97.2,1.1,0.4
Lake, OH,94.3,3.2,1.3
Lawrence, OH,96.1,2.2,0.4
Licking, OH,94.6,3.1,0.7
Logan, OH,95.5,1.9,0.9
Lorain, OH,88.1,8.7,0.9
Lucas, OH,78.3,18.2,1.4
Madison, OH,90.7,7.1,0.8
Mahoning, OH,81.6,16.2,0.7
Marion, OH,91.3,6.7,0.7
Medina, OH,96.3,1.6,1.1
Meigs, OH,97.4,0.9,0.3
Mercer, OH,98.2,0.4,0.5
Miami, OH,95,2.3,1.3
Monroe, OH,98.5,0.4,0.1
Montgomery, OH,76.3,20.3,1.5
Morgan, OH,92.8,3.9,0.1
Morrow, OH,97.7,1,0.2
Muskingum, OH,93.7,4,0.4
Noble, OH,90.8,8.2,0.2
Ottawa, OH,97.6,1,0.3
Paulding, OH,96.9,1.3,0.2
Perry, OH,98.2,0.5,0.2
Pickaway, OH,92.6,5.7,0.3
Pike, OH,96.2,1.1,0.3
Portage, OH,92.9,4.5,1.1
Preble, OH,97.8,0.6,0.6
Putnam, OH,98.6,0.5,0.2
Richland, OH,87.8,9.7,0.7
Ross, OH,91,6.6,0.5
Sandusky, OH,95,3.1,0.4
Scioto, OH,94.3,3,0.4
Seneca, OH,95.9,2.1,0.5
Shelby, OH,94.9,2.1,1.5
Stark, OH,89.8,7.5,0.8
Summit, OH,82.3,14.1,2
Trumbull, OH,89.9,8.2,0.5
Tuscarawas, OH,97.6,0.9,0.3
Union, OH,93.3,4,1.4
Van Wert, OH,97.6,1.1,0.3
Vinton, OH,97.4,0.8,0.1
Warren, OH,91.6,3.8,3.3
Washington, OH,97.1,1.1,0.5
Wayne, OH,96.3,1.7,0.9
Williams, OH,97.3,1,0.6
Wood, OH,95.5,2,1.3
Wyandot, OH,97.9,0.6,0.7
OKLAHOMA,,78,8.1,1.7
Adair, OK,49.1,0.7,0.4
Alfalfa, OK,88.9,5.1,0.1
Atoka, OK,75.9,5.8,0.3
Beaver, OK,96,0.6,0.1
Beckham, OK,89.2,5.1,0.5
Blaine, OK,73.7,8.9,1.2
Bryan, OK,80,2.1,0.7
Caddo, OK,65.6,4.8,0.3
Canadian, OK,87.3,3,2.5
Carter, OK,78.3,7.8,0.9
Cherokee, OK,58.7,2,0.5
Choctaw, OK,68.1,10.6,0.2
Cimarron, OK,96.2,0.8,0.2
Cleveland, OK,83,5,3.5
Coal, OK,73.3,1,0.5
Comanche, OK,69.8,19.1,2.1
Cotton, OK,84,3.7,0.2
Craig, OK,67.5,3.4,0.2
Creek, OK,82.4,2.7,0.4
Custer, OK,85.9,3.3,1.4
Delaware, OK,71,0.5,0.7
Dewey, OK,90.5,0.2,0.1
Ellis, OK,96.6,0.1,0.1
Garfield, OK,90,3.4,1
Garvin, OK,85,3,0.3
Grady, OK,88.2,2.9,0.4
Grant, OK,94.2,0.1,0.2
Greer, OK,83.2,10.3,0.3
Harmon, OK,80.7,13,0.7
Harper, OK,96.1,0,0.1
Haskell, OK,77,0.9,0.3
Hughes, OK,71.6,5.3,0.2
Jackson, OK,86.3,8.2,1.5
Jefferson, OK,87.6,1.5,1.3
Johnston, OK,75.5,2.3,0.3
Kay, OK,84.2,2.2,0.8
Kingfisher, OK,91.9,1.8,0.2
Kiowa, OK,84,5.5,0.4
Latimer, OK,72.6,1.6,0.4
Le Flore, OK,81.4,2.3,0.3
Lincoln, OK,86.3,2.6,0.3
Logan, OK,82.8,10.9,0.5
Love, OK,87.7,2.3,0.3
McClain, OK,89.2,1.1,0.3
McCurtain, OK,71.7,8.5,0.3
McIntosh, OK,72.7,4,0.2
Major, OK,95.8,0.4,0.2
Marshall, OK,84.1,2.1,0.3
Mayes, OK,70.8,0.9,0.4
Murray, OK,80.6,2.3,0.3
Muskogee, OK,65.4,11.9,0.7
Noble, OK,85.1,2.1,0.4
Nowata, OK,71.2,2.7,0.2
Okfuskee, OK,66.1,9.7,0.1
Oklahoma, OK,74.7,15.7,3.3
Okmulgee, OK,69.6,9.2,0.3
Osage, OK,67.4,11,0.3
Ottawa, OK,73.9,1.1,0.5
Pawnee, OK,81.4,1.1,0.2
Payne, OK,85.2,4.3,2.5
Pittsburg, OK,76.7,4.2,0.4
Pontotoc, OK,74.5,2.5,0.6
Pottawatomie, OK,78.7,3.4,0.7
Pushmataha, OK,77.1,1.2,0.2
Roger Mills, OK,89.5,0.6,0.1
Rogers, OK,79.8,1.5,0.9
Seminole, OK,70.7,5.5,0.4
Sequoyah, OK,69.2,2.1,0.3
Stephens, OK,88.8,2.7,0.4
Texas, OK,94,1.6,1.2
Tillman, OK,83,9.8,0.8
Tulsa, OK,77.4,11.7,2.1
Wagoner, OK,80.2,4.4,1.2
Washington, OK,80.6,2.8,1.1
Washita, OK,92.8,1.3,0.3
Woods, OK,91.9,3.1,0.7
Woodward, OK,92.5,2.4,0.5
OREGON,,89.8,2,3.7
Baker, OR,96.3,0.3,0.5
Benton, OR,90.1,1.2,5
Clackamas, OR,91.5,1.1,3.8
Clatsop, OR,94.2,0.9,1.5
Columbia, OR,94.3,0.6,1
Coos, OR,92.5,0.5,1.1
Crook, OR,96.3,0.1,0.5
Curry, OR,93.9,0.3,0.9
Deschutes, OR,94.9,0.7,1.1
Douglas, OR,94.3,0.4,0.8
Gilliam, OR,97.2,0.3,0.2
Grant, OR,95.7,0.1,0.2
Harney, OR,91.5,0.2,0.7
Hood River, OR,94.5,0.8,1.5
Jackson, OR,94.3,0.7,1.3
Jefferson, OR,78.7,0.8,0.4
Josephine, OR,94.9,0.5,0.7
Klamath, OR,90.4,0.9,1
Lake, OR,93.8,0.2,0.9
Lane, OR,91.5,1.1,3
Lincoln, OR,91.4,0.5,1.2
Linn, OR,94.7,0.6,1
Malheur, OR,93.4,1.5,1.9
Marion, OR,91.7,1.4,2.1
Morrow, OR,94.3,0.4,0.7
Multnomah, OR,83,6,6.1
Polk, OR,93,0.8,1.6
Sherman, OR,94.7,0.2,0.5
Tillamook, OR,95.2,0.4,0.8
Umatilla, OR,92.4,1.2,1
Union, OR,93.9,0.7,1.2
Wallowa, OR,97.2,0.1,0.3
Wasco, OR,91.7,0.4,1.2
Washington, OR,85.3,2.1,8.7
Wheeler, OR,96.2,0.1,0.3
Yamhill, OR,94.1,1,1.3
PENNSYLVANIA,,85.2,10.9,2.5
Adams, PA,96.1,2.1,0.7
Allegheny, PA,83.1,12.9,2.5
Armstrong, PA,98.1,0.9,0.2
Beaver, PA,92.1,6.2,0.4
Bedford, PA,98.3,0.5,0.3
Berks, PA,91.8,5.3,1.4
Blair, PA,96.9,1.6,0.5
Bradford, PA,97.7,0.6,0.6
Bucks, PA,91.5,3.8,3.6
Butler, PA,97.2,1.1,0.9
Cambria, PA,94.9,3.5,0.6
Cameron, PA,98.4,0.6,0.2
Carbon, PA,96.8,1.8,0.4
Centre, PA,91,3.1,4.5
Chester, PA,88.6,6.4,3.7
Clarion, PA,97.6,1.2,0.4
Clearfield, PA,95.9,3.1,0.4
Clinton, PA,97.6,1,0.6
Columbia, PA,97.1,1.3,0.7
Crawford, PA,96.5,2,0.4
Cumberland, PA,92.9,3.3,2.6
Dauphin, PA,77.5,17.5,2.7
Delaware, PA,75.4,18.6,4.6
Elk, PA,98.7,0.3,0.5
Erie, PA,91,6.7,0.8
Fayette, PA,94.5,4,0.3
Forest, PA,80.8,18,0.3
Franklin, PA,94.6,3.3,0.9
Fulton, PA,97.5,1.3,0.1
Greene, PA,94.8,3.9,0.4
Huntingdon, PA,93.2,5.6,0.3
Indiana, PA,96.4,2,0.9
Jefferson, PA,98.5,0.4,0.4
Juniata, PA,97.9,0.7,0.5
Lackawanna, PA,95.6,2.3,1.1
Lancaster, PA,93.2,3.7,1.7
Lawrence, PA,94.3,4.1,0.4
Lebanon, PA,95.9,2.1,1
Lehigh, PA,89.4,5.8,3
Luzerne, PA,95.1,3.1,0.9
Lycoming, PA,93.4,4.7,0.5
McKean, PA,95.8,2.5,0.5
Mercer, PA,92.8,5.4,0.6
Mifflin, PA,98.3,0.7,0.3
Monroe, PA,84,11.8,2.3
Montgomery, PA,84.5,8.5,5.5
Montour, PA,96,1.6,1.7
Northampton, PA,91.4,4.7,2.4
Northumberland, PA,96.6,2.3,0.3
Perry, PA,98,0.8,0.3
Philadelphia, PA,48.6,43.7,5.7
Pike, PA,91.4,5.9,1.3
Potter, PA,97.4,0.9,0.6
Schuylkill, PA,95.8,3,0.5
Snyder, PA,97.6,1.1,0.6
Somerset, PA,96.6,2.7,0.3
Sullivan, PA,94.9,3.3,0.2
Susquehanna, PA,98.2,0.6,0.3
Tioga, PA,97.7,0.9,0.4
Union, PA,89.3,8,1.3
Venango, PA,97.3,1.3,0.3
Warren, PA,98.4,0.3,0.4
Washington, PA,94.8,3.4,0.6
Wayne, PA,96.1,2.5,0.6
Westmoreland, PA,95.8,2.5,0.8
Wyoming, PA,97.7,1,0.5
York, PA,91.8,5.5,1.2
RHODE ISLAND,,88.3,6.4,2.8
Bristol, RI,95.9,1.2,1.6
Kent, RI,94.6,1.8,2
Newport, RI,92.8,3.3,1.4
Providence, RI,84.2,9.5,3.4
Washington, RI,94.5,1.2,1.9
SOUTH CAROLINA,,68.9,28.2,1.3
Abbeville, SC,70.5,28.3,0.3
Aiken, SC,72,25.5,0.8
Allendale, SC,27.5,71.4,0.2
Anderson, SC,81.3,16.7,0.8
Bamberg, SC,37,61.9,0.2
Barnwell, SC,54.2,43.8,0.6
Beaufort, SC,77.1,20.1,1.1
Berkeley, SC,69,26.5,2.2
Calhoun, SC,54.1,44.6,0.4
Charleston, SC,66.3,30.5,1.6
Cherokee, SC,77.4,20.8,0.5
Chester, SC,60.5,37.9,0.4
Chesterfield, SC,64.8,33.4,0.5
Clarendon, SC,48.6,49.7,0.6
Colleton, SC,57.8,40.2,0.3
Darlington, SC,56.8,42,0.4
Dillon, SC,50.3,45.6,0.4
Dorchester, SC,70.2,25.9,1.5
Edgefield, SC,59.3,39.2,0.4
Fairfield, SC,42.2,56.6,0.3
Florence, SC,57,40.9,1.1
Georgetown, SC,65.2,33.4,0.6
Greenville, SC,78,18.1,2.1
Greenwood, SC,66.1,31.3,1.5
Hampton, SC,44,54.9,0.2
Horry, SC,83.2,14.1,1.1
Jasper, SC,51.6,46.6,0.8
Kershaw, SC,72.4,25.8,0.5
Lancaster, SC,72.9,25.4,0.6
Laurens, SC,73,25.3,0.4
Lee, SC,37.7,61.3,0.2
Lexington, SC,82.1,14.8,1.4
McCormick, SC,52.4,46.5,0.3
Marion, SC,43.6,55,0.4
Marlboro, SC,42.4,52.3,0.3
Newberry, SC,67.9,30.6,0.4
Oconee, SC,90.5,7.9,0.4
Orangeburg, SC,36,61.9,0.7
Pickens, SC,90.2,7.2,1.5
Richland, SC,49.5,46.1,2.4
Saluda, SC,71.2,27.2,0.1
Spartanburg, SC,75.9,20.8,2
Sumter, SC,49.6,47.5,1.2
Union, SC,67.5,31.2,0.2
Williamsburg, SC,31.6,67.2,0.3
York, SC,77.6,19,1.5
SOUTH DAKOTA,,87.9,1.2,0.9
Aurora, SD,96.9,0.3,0.1
Beadle, SD,94.3,1.1,1.8
Bennett, SD,35.5,0.5,0.1
Bon Homme, SD,93.8,0.8,0.3
Brookings, SD,95.1,0.5,2.3
Brown, SD,94.5,0.5,0.7
Brule, SD,87.6,0.2,0.5
Buffalo, SD,17.7,0.4,0
Butte, SD,96.1,0.2,0.2
Campbell, SD,98.4,0,0.6
Charles Mix, SD,66.4,0.3,0.2
Clark, SD,98.5,0.1,0.1
Clay, SD,91.8,1.2,2.6
Codington, SD,96,0.2,0.5
Corson, SD,32.2,0.3,0.2
Custer, SD,93.7,0.3,0.2
Davison, SD,95.2,0.4,0.4
Day, SD,87.6,0.2,0.1
Deuel, SD,98.4,0.2,0.2
Dewey, SD,23.7,0.5,0.6
Douglas, SD,97.5,0.1,0.2
Edmunds, SD,99,0.1,0.1
Fall River, SD,90.1,0.3,0.4
Faulk, SD,99.3,0.1,0
Grant, SD,98.7,0,0.2
Gregory, SD,90.4,0,0.3
Haakon, SD,94.8,0,0.1
Hamlin, SD,98.1,0.1,0.2
Hand, SD,99.3,0,0.1
Hanson, SD,99.3,0,0.1
Harding, SD,96.3,0.5,0.7
Hughes, SD,85.4,0.5,0.9
Hutchinson, SD,98.3,0.1,0.1
Hyde, SD,88.2,0.1,0
Jackson, SD,45.9,0.1,0
Jerauld, SD,98.5,0,0.2
Jones, SD,93.1,0,0
Kingsbury, SD,98.2,0.1,0.6
Lake, SD,97.3,0.4,0.8
Lawrence, SD,95.4,0.4,0.4
Lincoln, SD,96.9,0.7,0.8
Lyman, SD,59.9,0.1,0.2
McCook, SD,98.8,0.1,0.2
McPherson, SD,99.3,0,0.2
Marshall, SD,89.3,0.1,0.1
Meade, SD,92.8,1.7,0.8
Mellette, SD,42.9,0.1,0.1
Miner, SD,98.3,0.6,0.1
Minnehaha, SD,91.9,2.9,1.2
Moody, SD,82.8,0.3,1.5
Pennington, SD,86.5,1.6,0.9
Perkins, SD,96.2,0.2,0.3
Potter, SD,96.5,0,0.4
Roberts, SD,64.3,0.2,0.3
Sanborn, SD,98.5,0,0.5
Shannon, SD,9.7,2.6,0.7
Spink, SD,96.9,0.3,0.1
Stanley, SD,89.4,0.2,0.8
Sully, SD,96.8,0,0.5
Todd, SD,14.8,1.1,1.3
Tripp, SD,84.3,0.1,0.1
Turner, SD,98,0.3,0.3
Union, SD,95,0.5,3.1
Walworth, SD,83,0.1,0.2
Yankton, SD,94.9,1.5,0.5
Ziebach, SD,25.7,0,0.1
TENNESSEE,,80.2,16.8,1.4
Anderson, TN,92.8,4.2,1.3
Bedford, TN,90.4,7.3,0.7
Benton, TN,95.9,2.4,0.4
Bledsoe, TN,94.4,3.9,0.1
Blount, TN,94.3,3.2,1.1
Bradley, TN,93.1,4.5,0.7
Campbell, TN,97.7,0.6,0.2
Cannon, TN,96.7,1.9,0.1
Carroll, TN,87.2,10.8,0.3
Carter, TN,96.5,1.9,0.3
Cheatham, TN,95.7,2.7,0.4
Chester, TN,88.3,10.1,0.3
Claiborne, TN,97.5,1,0.4
Clay, TN,94.9,3.3,0.3
Cocke, TN,95.8,2.3,0.2
Coffee, TN,93.7,3.8,1
Crockett, TN,85.6,13.2,0.1
Cumberland, TN,98.1,0.5,0.3
Davidson, TN,67.4,27.4,2.9
Decatur, TN,94.7,3.8,0.2
DeKalb, TN,96.4,1.8,0.5
Dickson, TN,93.3,4.6,0.4
Dyer, TN,83.8,14.4,0.5
Fayette, TN,71.6,26.2,1.1
Fentress, TN,98.9,0.4,0.1
Franklin, TN,92.3,5.7,0.5
Gibson, TN,79.7,18.8,0.3
Giles, TN,86.8,11.1,0.6
Grainger, TN,98.3,0.9,0.1
Greene, TN,96.4,2.4,0.3
Grundy, TN,97.9,0.7,0.2
Hamblen, TN,93.3,4.2,0.9
Hamilton, TN,76.6,20.1,1.7
Hancock, TN,98.1,0.6,0.1
Hardeman, TN,58.2,40.1,0.4
Hardin, TN,94.5,4,0.2
Hawkins, TN,97,1.7,0.4
Haywood, TN,49.3,49.6,0.3
Henderson, TN,90.4,8,0.2
Henry, TN,89.7,8.5,0.4
Hickman, TN,93.5,4.8,0.1
Houston, TN,94.4,3.8,0.1
Humphreys, TN,95.1,3.3,0.4
Jackson, TN,97.5,1,0.3
Jefferson, TN,95.9,2.3,0.4
Johnson, TN,95.9,3.1,0.1
Knox, TN,87.5,9,1.8
Lake, TN,63.5,34.6,0.2
Lauderdale, TN,63.3,33.9,0.9
Lawrence, TN,96.7,1.8,0.3
Lewis, TN,96.2,2.1,0.6
Lincoln, TN,90.3,7.3,0.5
Loudon, TN,96.9,1.4,0.4
McMinn, TN,93.4,4.3,0.8
McNairy, TN,92,6.4,0.2
Macon, TN,97.7,1,0.3
Madison, TN,63.7,34.2,0.9
Marion, TN,94,4.3,0.4
Marshall, TN,91.1,7.3,0.4
Maury, TN,85.1,12.7,0.6
Meigs, TN,96.8,2,0.2
Monroe, TN,95.5,2.3,0.6
Montgomery, TN,74.8,19.7,2
Moore, TN,95.5,3.4,0.1
Morgan, TN,98.1,0.8,0.1
Obion, TN,88.8,9.8,0.3
Overton, TN,98.1,0.9,0.1
Perry, TN,96,2.2,0.1
Pickett, TN,99,0.3,0.1
Polk, TN,97.3,1,0.1
Putnam, TN,95.4,2.2,1
Rhea, TN,95.5,2.6,0.3
Roane, TN,94.9,3,0.5
Robertson, TN,89.8,8.4,0.5
Rutherford, TN,83.1,12.4,2.8
Scott, TN,98.2,0.4,0.1
Sequatchie, TN,97.8,0.9,0.4
Sevier, TN,96.8,1.3,0.7
Shelby, TN,44.2,52,2.3
Smith, TN,95.3,3.2,0.2
Stewart, TN,94.3,2.4,1.4
Sullivan, TN,96,2.3,0.6
Sumner, TN,90.9,6.8,1
Tipton, TN,78.5,19.4,0.5
Trousdale, TN,88.1,10.6,0.1
Unicoi, TN,98.1,0.7,0.1
Union, TN,98,0.7,0.2
Van Buren, TN,98.7,0.5,0.1
Warren, TN,94.6,3.3,0.7
Washington, TN,93.8,4.1,0.8
Wayne, TN,90.9,7.8,0.4
Weakley, TN,89,7.6,2.3
White, TN,96.5,1.9,0.4
Williamson, TN,90.8,5.4,2.6
Wilson, TN,90.7,7.1,0.9
TEXAS,,82.1,12,3.6
Anderson, TX,75,22.5,0.7
Andrews, TX,94.3,2.6,0.9
Angelina, TX,82.9,14.8,0.9
Aransas, TX,93,1.8,3.1
Archer, TX,96.4,1.4,0.1
Armstrong, TX,97.6,0.5,0
Atascosa, TX,96.3,1.4,0.7
Austin, TX,88.4,9.9,0.4
Bailey, TX,95.6,2,0.2
Bandera, TX,96.8,1,0.3
Bastrop, TX,88.7,8.4,0.7
Baylor, TX,92.8,4.1,1.2
Bee, TX,86.9,11,0.8
Bell, TX,69.7,22.1,2.8
Bexar, TX,86.8,7.8,2.2
Blanco, TX,96.5,1.4,0.2
Borden, TX,98,0.2,0
Bosque, TX,95.3,2.7,0.2
Bowie, TX,72.2,24.6,0.7
Brazoria, TX,81.6,11.4,4.9
Brazos, TX,83,10.9,4.2
Brewster, TX,93.8,2.9,0.4
Briscoe, TX,94.8,3.4,0.1
Brooks, TX,98.3,0.6,0.1
Brown, TX,93.5,4,0.6
Burleson, TX,84,13.9,0.3
Burnet, TX,95.7,2.2,0.5
Caldwell, TX,89.3,8,0.7
Calhoun, TX,91.3,2.9,4.2
Callahan, TX,95.4,2.1,0.5
Cameron, TX,96.8,1.3,0.6
Camp, TX,80.6,17,0.7
Carson, TX,95.8,1.8,0.1
Cass, TX,79.1,18.8,0.2
Castro, TX,94.1,3.2,0
Chambers, TX,86.8,10.8,1
Cherokee, TX,83,14.6,0.6
Childress, TX,81.6,16.1,0.5
Clay, TX,96,1.3,0.1
Cochran, TX,90.5,7.2,0.4
Coke, TX,96.1,1.8,0.2
Coleman, TX,94.6,2.9,0.5
Collin, TX,79,8.2,10.2
Collingsworth, TX,90,6.1,0.2
Colorado, TX,83.8,14.2,0.5
Comal, TX,95,2.5,0.9
Comanche, TX,96.6,1,0.6
Concho, TX,97.3,1.2,0.1
Cooke, TX,93.5,3.3,0.7
Coryell, TX,72.9,19.9,1.8
Cottle, TX,86.3,12.3,0
Crane, TX,94.1,3.9,0.4
Crockett, TX,96.7,1.1,0.3
Crosby, TX,92.9,4.9,0.2
Culberson, TX,96.7,1.3,1
Dallam, TX,94.6,2.4,0.4
Dallas, TX,72.2,20.8,4.7
Dawson, TX,88.6,9.7,0.5
Deaf Smith, TX,95.6,2.1,0.5
Delta, TX,89.2,7.9,0.2
Denton, TX,83.3,8.3,5.7
DeWitt, TX,86.8,11.4,0.3
Dickens, TX,88,9.8,0.2
Dimmit, TX,96.2,1.5,1
Donley, TX,91.8,5.9,0.1
Duval, TX,97.5,1.1,0.2
Eastland, TX,95.1,3.1,0.3
Ector, TX,92,4.9,0.8
Edwards, TX,94.2,3.5,0.4
Ellis, TX,87.2,10.2,0.7
El Paso, TX,92.3,3.8,1.2
Erath, TX,95.8,1.3,1
Falls, TX,71.5,26.7,0.2
Fannin, TX,89.3,7.6,0.4
Fayette, TX,91.7,6.9,0.3
Fisher, TX,94.2,4.3,0.2
Floyd, TX,92.9,4.6,0.3
Foard, TX,92.6,4.6,0.2
Fort Bend, TX,61.7,21.1,15.2
Franklin, TX,92.5,5.6,0.2
Freestone, TX,80.5,17.8,0.3
Frio, TX,92.4,5.6,0.7
Gaines, TX,95,2.9,0.2
Galveston, TX,80.8,14.3,2.9
Garza, TX,91.3,6.2,0.1
Gillespie, TX,98.2,0.6,0.2
Glasscock, TX,98.5,0.8,0
Goliad, TX,92.7,5.7,0.2
Gonzales, TX,89,8.2,0.4
Gray, TX,89.6,6.5,0.5
Grayson, TX,89.7,5.9,0.8
Gregg, TX,76.6,20.3,1
Grimes, TX,80.6,17.5,0.4
Guadalupe, TX,89.5,6.8,1.5
Hale, TX,91,6,0.6
Hall, TX,87.9,9.6,0.6
Hamilton, TX,97.6,0.8,0.2
Hansford, TX,97.3,0.3,0.6
Hardeman, TX,90.7,6.4,0.4
Hardin, TX,91.1,7.2,0.4
Harris, TX,73.2,18.8,5.8
Harrison, TX,75.4,22.4,0.6
Hartley, TX,91,7.2,0.3
Haskell, TX,93.3,4.3,0.2
Hays, TX,92,4.6,1.2
Hemphill, TX,96.4,1.6,0.3
Henderson, TX,91.4,6.5,0.4
Hidalgo, TX,96.5,1.3,0.9
Hill, TX,90.8,6.8,0.3
Hockley, TX,93.3,4,0.3
Hood, TX,96.3,1.4,0.5
Hopkins, TX,89.8,7.8,0.4
Houston, TX,72.6,25.9,0.4
Howard, TX,92.2,4.9,0.8
Hudspeth, TX,96.4,1,0.2
Hunt, TX,88.1,8.8,0.7
Hutchinson, TX,92.7,3.1,0.5
Irion, TX,95.2,3.2,0
Jack, TX,91.4,6.5,0.5
Jackson, TX,90.1,7.9,0.6
Jasper, TX,80.5,17.2,0.5
Jeff Davis, TX,97.8,1,0.1
Jefferson, TX,60.8,34.7,2.8
Jim Hogg, TX,97.9,0.6,0.2
Jim Wells, TX,97,1.1,0.7
Johnson, TX,93.1,3.9,0.8
Jones, TX,84.6,13.1,0.6
Karnes, TX,86.2,11.7,0.5
Kaufman, TX,86.2,10.8,0.9
Kendall, TX,96.6,1.4,0.5
Kenedy, TX,96.5,0.8,1.9
Kent, TX,99,0.4,0
Kerr, TX,95.5,2.1,0.6
Kimble, TX,97.9,0.4,0.6
King, TX,94.1,3.8,0
Kinney, TX,95.4,2.5,0.4
Kleberg, TX,91.4,4,2.1
Knox, TX,86.8,9.3,0.4
Lamar, TX,83.1,13.3,0.6
Lamb, TX,91.9,5.1,0.3
Lampasas, TX,92.3,4.1,1.1
La Salle, TX,94.8,4,0.4
Lavaca, TX,91.8,7,0.2
Lee, TX,86.9,11.3,0.3
Leon, TX,89.1,9.5,0.3
Liberty, TX,85.7,12.1,0.5
Limestone, TX,79.4,18.4,0.4
Lipscomb, TX,96.7,0.7,0.1
Live Oak, TX,95.1,3.3,0.4
Llano, TX,97.2,1.2,0.4
Loving, TX,100,0,0
Lubbock, TX,88.7,7.8,1.4
Lynn, TX,93.3,4.1,0.2
McCulloch, TX,96.4,2.4,0.3
McLennan, TX,81.5,14.9,1.5
McMullen, TX,97.5,1.2,1
Madison, TX,76.5,21.4,0.7
Marion, TX,75.5,21.3,0.3
Martin, TX,95.7,2,0.2
Mason, TX,98.4,0.2,0.1
Matagorda, TX,83.5,11.8,2.5
Maverick, TX,96.1,1,0.6
Medina, TX,94.8,2.9,0.5
Menard, TX,96.9,1.1,0.6
Midland, TX,89.9,7.1,1.2
Milam, TX,87.1,10.8,0.5
Mills, TX,97.4,1.5,0.1
Mitchell, TX,83.7,14.4,0.4
Montague, TX,96.6,1,0.3
Montgomery, TX,91,5.1,2
Moore, TX,93.3,2.6,1.9
Morris, TX,74.8,22.9,0.3
Motley, TX,93.6,4.3,0.2
Nacogdoches, TX,80.8,16.6,0.8
Navarro, TX,81.6,15.3,0.9
Newton, TX,76.8,20.6,0.7
Nolan, TX,91.9,5.5,0.6
Nueces, TX,91.9,4.4,1.4
Ochiltree, TX,96.3,0.6,0.7
Oldham, TX,93.5,3.6,0.5
Orange, TX,87.8,9.3,1
Palo Pinto, TX,94.6,2.6,0.7
Panola, TX,80.1,18,0.4
Parker, TX,94.8,2.7,0.6
Parmer, TX,94.8,2,0.7
Pecos, TX,92.8,4.8,0.7
Polk, TX,84.6,12,0.5
Potter, TX,84,10.3,2.7
Presidio, TX,97.8,1.2,0.2
Rains, TX,94.7,3.1,0.5
Randall, TX,93.5,2.8,1.6
Reagan, TX,94.3,4,0.3
Real, TX,97.5,0.3,0.2
Red River, TX,80.8,17,0.1
Reeves, TX,95.3,2.9,0.6
Refugio, TX,90.8,7.1,0.5
Roberts, TX,97.9,0.3,0.1
Robertson, TX,75.5,22.2,0.5
Rockwall, TX,89.3,6.5,2.5
Runnels, TX,95.5,2,0.5
Rusk, TX,79.8,18.1,0.5
Sabine, TX,89.1,9.3,0.2
San Augustine, TX,72.7,25.9,0.2
San Jacinto, TX,85.6,11.9,0.7
San Patricio, TX,94.4,2.4,0.8
San Saba, TX,95,3.2,0.2
Schleicher, TX,96.3,2.6,0.4
Scurry, TX,91.5,6.4,0.6
Shackelford, TX,97.7,1,0
Shelby, TX,79,18,0.3
Sherman, TX,97.1,0.8,0.2
Smith, TX,79.4,18,0.9
Somervell, TX,96.8,1.1,0.3
Starr, TX,98.2,0.8,0.4
Stephens, TX,94.2,3.7,0.6
Sterling, TX,99,0.1,0
Stonewall, TX,91.8,4.5,0.5
Sutton, TX,98.5,0.4,0.3
Swisher, TX,89.6,7.8,0.3
Tarrant, TX,78.4,14.4,4.3
Taylor, TX,88.5,7,1.5
Terrell, TX,96.8,0.1,0.8
Terry, TX,92.2,5.8,0.3
Throckmorton, TX,98.6,0.1,0.1
Titus, TX,87.1,10.1,0.8
Tom Green, TX,92.1,4.4,1
Travis, TX,83.1,8.8,5.5
Trinity, TX,86.8,11.2,0.4
Tyler, TX,86.2,11.8,0.2
Upshur, TX,88,9.6,0.4
Upton, TX,94.9,2.6,0
Uvalde, TX,96.4,1.2,0.7
Val Verde, TX,95.7,1.7,0.9
Van Zandt, TX,94.3,3.6,0.3
Victoria, TX,90.9,6.3,1.1
Walker, TX,74,23.4,0.9
Waller, TX,71.8,26,0.6
Ward, TX,90.9,6.5,0.4
Washington, TX,79.8,17.7,1.4
Webb, TX,97.6,0.8,0.6
Wharton, TX,83.3,14.7,0.6
Wheeler, TX,93.4,3.9,0.7
Wichita, TX,83.3,10.7,2.1
Wilbarger, TX,87.2,9.4,0.9
Willacy, TX,96,2.7,0.3
Williamson, TX,86.6,6.7,4.4
Wilson, TX,95.3,2.6,0.5
Winkler, TX,95.9,2.6,0.3
Wise, TX,95.6,1.9,0.4
Wood, TX,92.5,6,0.2
Yoakum, TX,96.5,2.1,0.2
Young, TX,95.3,2.1,0.3
Zapata, TX,98.4,0.6,0.3
Zavala, TX,97.6,1,0.2
UTAH,,92.7,1.4,2.1
