Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Charlotte, FL,91.6,5.8,1.4
Citrus, FL,93.8,3.3,1.4
Clay, FL,83.9,10.6,2.9
Collier, FL,92,5.7,1.1
Columbia, FL,79.9,17.2,0.9
DeSoto, FL,83.7,11.7,0.7
Dixie, FL,88.6,9.5,0.2
Duval, FL,64,30,3.6
Escambia, FL,71,22.7,2.6
Flagler, FL,85.5,10.7,2.2
Franklin, FL,80.7,16.9,0.3
Gadsden, FL,43.5,55,0.5
Gilchrist, FL,91.2,7.1,0.2
Glades, FL,81.4,11.5,0.5
Gulf, FL,75.6,21.7,0.4
Hamilton, FL,63.2,34.9,0.3
Hardee, FL,87.7,9,0.7
Hendry, FL,83.3,13.3,0.7
Hernando, FL,91.6,5.6,1.3
Highlands, FL,87.4,9.6,1.5
Hillsborough, FL,77.3,16.9,3.3
Holmes, FL,89.1,7.8,0.4
Indian River, FL,88.6,9,1.2
Jackson, FL,69.9,27.2,0.6
Jefferson, FL,64.2,33.9,0.3
Lafayette, FL,82.2,15.8,0.2
Lake, FL,87.3,9.4,1.8
Lee, FL,88.9,8.1,1.4
Leon, FL,63.5,32,2.6
Levy, FL,87.4,10.5,0.5
Liberty, FL,78,19,0.2
Madison, FL,59.9,38.4,0.3
Manatee, FL,87.6,9.1,1.7
Marion, FL,84.7,12.1,1.4
Martin, FL,90,6.1,1.2
Miami-Dade, FL,77.2,19.5,1.6
Monroe, FL,91.1,5.7,1.4
Nassau, FL,89.3,8.1,0.9
Okaloosa, FL,83,10.1,2.8
Okeechobee, FL,87.7,8.6,1.2
Orange, FL,71.7,20.9,4.7
Osceola, FL,81.8,12,3.2
Palm Beach, FL,78.7,16.9,2.4
Pasco, FL,91.3,4.7,2.1
Pinellas, FL,84.5,10.5,3
Polk, FL,82,14.4,1.7
Putnam, FL,81.2,16.6,0.5
St. Johns, FL,89.9,6.5,2.1
St. Lucie, FL,78.5,18,1.7
Santa Rosa, FL,88.8,6,1.9
Sarasota, FL,92.7,4.8,1.3
Seminole, FL,82.2,11.9,3.7
Sumter, FL,85.7,12.1,0.7
Suwannee, FL,86.3,11.4,0.6
Taylor, FL,74.2,22.7,0.5
Union, FL,74.4,23,0.4
Volusia, FL,86.1,10.6,1.6
Wakulla, FL,83.3,14.5,0.4
Walton, FL,88.8,7.5,0.7
Washington, FL,80.1,15.4,0.8
GEORGIA,,65,30.2,3
Appling, GA,79.8,18.7,0.5
Atkinson, GA,80.7,16.8,0.3
Bacon, GA,80.4,17.5,0.8
Baker, GA,49.8,49.3,0.1
Baldwin, GA,54.6,43.1,1.3
Banks, GA,93.7,4.2,1
Barrow, GA,83.7,11.7,3.1
Bartow, GA,87.6,10.1,0.8
Ben Hill, GA,65.2,33.4,0.4
Berrien, GA,86.5,11.5,0.4
Bibb, GA,46.3,51.1,1.5
Bleckley, GA,71.3,26.7,1
Brantley, GA,93.5,5.1,0.1
Brooks, GA,62.3,35.8,0.4
Bryan, GA,80.7,15.5,1.6
Bulloch, GA,68,29.6,1.2
Burke, GA,48.3,50,0.3
Butts, GA,71.9,26.3,0.4
Calhoun, GA,38.2,61.1,0.1
Camden, GA,76.1,19.7,1.3
Candler, GA,74.2,24.1,0.3
Carroll, GA,80,17.8,0.8
Catoosa, GA,94.9,2.9,1
Charlton, GA,68.7,28.9,0.4
Chatham, GA,55.5,40.4,2.2
Chattahoochee, GA,67.5,25.4,2.4
Chattooga, GA,87.3,10.8,0.4
Cherokee, GA,90,6.2,2
Clarke, GA,69.6,25.6,3.2
Clay, GA,37.6,60.9,0.3
Clayton, GA,30.4,62.1,5
Clinch, GA,68,29.3,0.4
Cobb, GA,69.7,23.8,4.2
Coffee, GA,71.3,26.5,0.7
Colquitt, GA,75.4,22.8,0.6
Columbia, GA,78.8,15.5,3.5
Cook, GA,70.4,27.7,0.8
Coweta, GA,79.7,17.7,1.3
Crawford, GA,76.7,21.6,0.2
Crisp, GA,53.4,44.3,1.2
Dade, GA,96.5,1.6,0.4
Dawson, GA,96.3,2,0.5
Decatur, GA,57.9,40.2,0.4
DeKalb, GA,40.2,53.7,4.2
Dodge, GA,68.5,30.5,0.3
Dooly, GA,48.4,49.5,0.7
Dougherty, GA,32.4,65.3,1.1
Douglas, GA,60.4,36,1.6
Early, GA,48.5,50,0.2
Echols, GA,90.8,7.3,0.2
Effingham, GA,82.8,14.9,0.8
Elbert, GA,69.4,29.4,0.3
Emanuel, GA,66.3,32.3,0.4
Evans, GA,67.9,30.4,0.4
Fannin, GA,97.1,1.1,0.3
Fayette, GA,74.2,20.2,3.9
Floyd, GA,83.2,13.6,1.6
Forsyth, GA,89.3,4.2,5.1
Franklin, GA,89.3,8.8,0.5
Fulton, GA,50.6,43.1,4.4
Gilmer, GA,96.6,0.9,0.2
Glascock, GA,86.5,12.5,0
Glynn, GA,71.9,25.7,0.9
Gordon, GA,93.3,3.8,0.9
Grady, GA,69.5,28.3,0.4
Greene, GA,60.2,38.4,0.4
Gwinnett, GA,65.8,22.1,9.6
Habersham, GA,91,5.1,2.2
Hall, GA,89.7,6.8,1.9
Hancock, GA,23.7,75.6,0.1
Haralson, GA,92.4,6,0.4
Harris, GA,78.9,19,0.8
Hart, GA,78.9,19.4,0.7
Heard, GA,87.7,11,0.1
Henry, GA,61.3,34,2.9
Houston, GA,67.3,28.4,2.1
Irwin, GA,72.3,26.3,0.7
Jackson, GA,89.4,7.7,1.8
Jasper, GA,76.8,22.1,0.2
Jeff Davis, GA,83.1,15.1,1
Jefferson, GA,44,55,0.3
Jenkins, GA,57.2,41.3,0.3
Johnson, GA,60.3,39.1,0.1
Jones, GA,74.9,23.4,0.7
Lamar, GA,70.1,28.3,0.4
Lanier, GA,72.6,25,0.5
Laurens, GA,63.1,34.9,1
Lee, GA,77.9,19.4,1.5
Liberty, GA,52.4,41,1.9
Lincoln, GA,65.3,33.3,0.2
Long, GA,71.7,24.4,1
Lowndes, GA,62.1,34.8,1.2
Lumpkin, GA,95,2.3,0.5
McDuffie, GA,60.6,37.7,0.4
McIntosh, GA,65.5,32.5,0.4
Macon, GA,39.2,58.5,0.9
Madison, GA,89,9.1,0.7
Marion, GA,64.6,32.5,0.4
Meriwether, GA,58.6,39.8,0.3
Miller, GA,69.1,30,0.1
Mitchell, GA,51.6,46.8,0.4
Monroe, GA,73,25.3,0.5
Montgomery, GA,73.7,25.1,0.4
Morgan, GA,73.9,24.5,0.6
Murray, GA,96.7,1.7,0.3
Muscogee, GA,48.6,46.8,2
Newton, GA,60.5,36.9,1.2
Oconee, GA,89.7,7.1,2.2
Oglethorpe, GA,79.8,18.7,0.2
Paulding, GA,81.3,16.1,1
Peach, GA,53.2,45.1,0.5
Pickens, GA,96.2,2.4,0.3
Pierce, GA,88.1,10.4,0.2
Pike, GA,85.5,13.3,0.3
Polk, GA,85.1,12.9,0.8
Pulaski, GA,65.7,32.2,0.5
Putnam, GA,71.7,26.5,0.7
Quitman, GA,53.7,45.5,0
Rabun, GA,96.4,1.9,0.4
Randolph, GA,38.6,60.1,0.2
Richmond, GA,43.2,52.8,1.6
Rockdale, GA,54.9,41.2,2.2
Schley, GA,69.8,28.7,0.1
Screven, GA,55.3,43.3,0.6
Seminole, GA,65.1,34,0.2
Spalding, GA,65.2,32.5,1
Stephens, GA,85.8,11.6,0.7
Stewart, GA,40.8,57.7,0.2
Sumter, GA,48.3,49.9,0.8
Talbot, GA,42.5,55.8,0.3
Taliaferro, GA,40.8,58.2,0.2
Tattnall, GA,68.4,30.2,0.3
Taylor, GA,59.1,39.8,0.3
Telfair, GA,57.6,41.4,0.3
Terrell, GA,37.6,60.6,0.7
Thomas, GA,61.4,36.8,0.5
Tift, GA,70.4,27.2,1.6
Toombs, GA,74.3,24,0.7
Towns, GA,98,1.1,0.4
Treutlen, GA,66.4,32.4,0.5
Troup, GA,64.3,33.5,0.9
Turner, GA,58.4,40.5,0.4
Twiggs, GA,58,40.7,0.2
Union, GA,97.2,1.7,0.2
Upson, GA,70.5,27.8,0.7
Walker, GA,93.7,4.5,0.5
Walton, GA,81.6,16,1.2
Ware, GA,70.3,28,0.6
Warren, GA,42.8,56.1,0.3
Washington, GA,46.1,52.7,0.3
Wayne, GA,77.9,20.2,0.6
Webster, GA,56.3,43,0
Wheeler, GA,62.3,35.2,0.5
White, GA,95,2.9,0.6
Whitfield, GA,93.4,3.4,1.5
Wilcox, GA,62.1,37.1,0.2
Wilkes, GA,57.6,40.9,0.3
Wilkinson, GA,59,39.5,0.2
Worth, GA,69.1,29.4,0.3
HAWAII,,30.2,3.2,38.8
Hawaii, HI,38.3,1,23.5
Honolulu, HI,26.6,4.2,43.9
Kalawao, HI,33.7,0,18.1
Kauai, HI,36.1,0.7,32
Maui, HI,40,0.9,28.7
IDAHO,,94.4,1,1.2
Ada, ID,93.1,1.6,2.1
Adams, ID,96.2,0.1,0.7
Bannock, ID,92.5,0.9,1.3
Bear Lake, ID,98.3,0.2,0.1
Benewah, ID,87.6,0.2,0.2
Bingham, ID,90,0.7,0.8
Blaine, ID,96.3,0.4,1.3
Boise, ID,96.2,0.1,0.3
Bonner, ID,96.4,0.3,0.4
Bonneville, ID,96.1,0.9,0.8
Boundary, ID,95.6,0.3,0.7
Butte, ID,96.7,0.3,0.3
Camas, ID,96,1.2,0.2
Canyon, ID,94.1,1.5,1.1
Caribou, ID,98.4,0.1,0.1
Cassia, ID,96.2,0.5,0.4
Clark, ID,97.8,0.1,0.2
Clearwater, ID,94.3,0.2,0.6
Custer, ID,98.2,0,0
Elmore, ID,89.8,4.2,1.8
Franklin, ID,98.3,0.1,0.1
Fremont, ID,97.3,0.2,0.4
Gem, ID,96.6,0.2,0.6
Gooding, ID,96.8,0.3,0.4
Idaho, ID,94.2,0.1,0.5
Jefferson, ID,97,0.5,0.3
Jerome, ID,96.8,0.6,0.3
Kootenai, ID,95.5,0.7,0.7
Latah, ID,94,0.9,2.2
Lemhi, ID,96.9,0.1,0.2
Lewis, ID,92.4,0.3,0.5
Lincoln, ID,95.7,0.7,0.4
Madison, ID,96.2,1,0.8
Minidoka, ID,95.7,0.9,0.6
Nez Perce, ID,90.7,0.6,1.1
Oneida, ID,98.6,0.1,0.2
Owyhee, ID,93.2,0.4,0.5
Payette, ID,95.9,0.3,1
Power, ID,94.6,0.2,0.4
Shoshone, ID,95.3,0.3,0.3
Teton, ID,98,0.3,0.6
Twin Falls, ID,96.3,0.6,0.9
Valley, ID,97.3,0.4,0.3
Washington, ID,96.2,0.1,1.1
ILLINOIS,,79,14.9,4.4
Adams, IL,94.6,3.5,0.5
Alexander, IL,64.5,33.3,0.5
Bond, IL,91,7.3,0.3
Boone, IL,94.5,2.6,1.4
