County,State,2013,2014,2015,2016,2017,2018,2019
Dixie County, Florida,"16,084","16,041","16,353","16,465","16,615","16,685","16,826"
Duval County, Florida,"885,943","896,668","910,578","926,010","937,933","948,652","957,755"
Escambia County, Florida,"306,694","307,960","309,311","311,473","313,249","315,104","318,316"
Flagler County, Florida,"99,798","101,889","104,436","107,406","109,999","112,085","115,081"
Franklin County, Florida,"11,521","11,661","11,707","11,823","11,724","11,676","12,125"
Gadsden County, Florida,"46,087","46,114","46,060","46,086","45,993","45,927","45,660"
Gilchrist County, Florida,"16,957","16,991","17,378","17,622","17,900","18,284","18,582"
Glades County, Florida,"12,670","12,943","13,099","13,406","13,580","13,686","13,811"
Gulf County, Florida,"15,884","16,002","15,929","16,062","16,105","16,146","13,639"
Hamilton County, Florida,"14,342","14,071","14,272","14,303","14,364","14,262","14,428"
Hardee County, Florida,"27,311","27,266","27,177","27,219","27,154","27,168","26,937"
Hendry County, Florida,"37,809","38,474","39,248","40,037","41,018","41,336","42,022"
Hernando County, Florida,"173,639","175,298","177,900","182,459","186,704","190,582","193,920"
Highlands County, Florida,"98,077","98,584","100,137","102,041","103,852","104,933","106,221"
Hillsborough County, Florida,"1,304,131","1,332,298","1,364,073","1,396,693","1,426,736","1,451,919","1,471,968"
Holmes County, Florida,"19,594","19,564","19,273","19,398","19,427","19,443","19,617"
Indian River County, Florida,"141,895","144,445","147,434","151,159","154,241","157,187","159,923"
Jackson County, Florida,"48,880","48,730","48,609","48,299","48,289","48,112","46,414"
Jefferson County, Florida,"14,209","14,056","14,115","13,960","14,165","14,321","14,246"
Lafayette County, Florida,"8,819","8,862","8,724","8,747","8,602","8,691","8,422"
Lake County, Florida,"307,973","315,340","325,154","334,913","345,432","356,720","367,118"
Lee County, Florida,"659,834","677,232","699,644","722,649","740,000","754,470","770,577"
Leon County, Florida,"281,887","283,770","285,904","286,744","290,965","291,657","293,582"
Levy County, Florida,"39,433","39,296","39,601","39,837","40,276","40,798","41,503"
Liberty County, Florida,"8,357","8,418","8,409","8,300","8,236","8,427","8,354"
Madison County, Florida,"18,753","18,601","18,478","18,316","18,474","18,540","18,493"
Manatee County, Florida,"341,855","350,865","362,548","375,373","385,506","394,387","403,253"
Marion County, Florida,"335,083","338,005","342,182","347,469","353,339","359,062","365,579"
Martin County, Florida,"151,126","153,119","155,559","158,325","159,701","160,742","161,000"
Miami-Dade County, Florida,"2,609,692","2,634,269","2,659,839","2,692,213","2,713,295","2,714,854","2,716,940"
Monroe County, Florida,"75,813","76,261","76,648","76,872","76,483","74,757","74,228"
Nassau County, Florida,"75,384","76,250","77,951","80,055","82,925","85,936","88,625"
Okaloosa County, Florida,"192,688","194,615","197,748","200,071","203,478","206,934","210,738"
Okeechobee County, Florida,"39,482","39,569","39,854","40,769","41,275","41,654","42,168"
Orange County, Florida,"1,227,435","1,256,606","1,291,301","1,326,516","1,355,921","1,381,540","1,393,452"
Osceola County, Florida,"299,238","311,046","323,736","338,209","353,623","368,456","375,751"
Palm Beach County, Florida,"1,376,462","1,398,656","1,424,256","1,450,890","1,470,344","1,482,876","1,496,770"
Pasco County, Florida,"474,352","483,399","494,895","509,937","525,141","539,090","553,947"
Pinellas County, Florida,"928,414","936,400","947,060","959,874","968,341","973,058","974,996"
Polk County, Florida,"622,633","634,398","648,523","665,823","685,368","706,597","724,777"
Putnam County, Florida,"72,370","71,971","71,939","72,373","73,384","74,043","74,521"
St, Johns County,"209,439","217,836","226,362","234,828","243,693","253,814","264,672"
St, Lucie County,"285,299","290,045","297,282","305,566","313,163","320,425","328,297"
Santa Rosa County, Florida,"160,392","162,668","166,226","169,894","174,049","179,295","184,313"
Sarasota County, Florida,"389,941","396,363","404,761","412,968","419,680","426,329","433,742"
Seminole County, Florida,"435,503","441,399","448,318","455,945","462,801","468,122","471,826"
Sumter County, Florida,"106,898","112,236","117,076","122,009","124,995","128,719","132,420"
Suwannee County, Florida,"43,588","43,786","43,677","43,834","44,124","44,179","44,417"
Taylor County, Florida,"22,873","22,584","22,355","22,099","21,781","21,545","21,569"
Union County, Florida,"15,160","15,258","15,265","15,238","15,448","15,328","15,237"
Volusia County, Florida,"500,438","506,715","516,730","528,453","537,868","546,101","553,284"
Wakulla County, Florida,"31,004","31,416","31,523","31,882","32,050","32,413","33,739"
Walton County, Florida,"59,193","61,186","63,066","65,421","68,021","70,732","74,071"
Washington County, Florida,"24,504","24,299","24,552","24,454","24,546","24,793","25,473"
Appling County, Georgia,"18,370","18,472","18,423","18,428","18,438","18,526","18,386"
Atkinson County, Georgia,"8,264","8,215","8,340","8,244","8,182","8,262","8,165"
Bacon County, Georgia,"11,173","11,178","11,231","11,275","11,205","11,132","11,164"
Baker County, Georgia,"3,348","3,288","3,194","3,183","3,159","3,086","3,038"
Baldwin County, Georgia,"46,178","45,910","45,549","45,259","44,963","44,893","44,890"
Banks County, Georgia,"18,221","18,226","18,381","18,325","18,628","18,972","19,234"
Barrow County, Georgia,"71,239","72,849","74,979","77,000","78,899","80,834","83,240"
Bartow County, Georgia,"100,917","101,233","102,043","103,338","105,098","106,378","107,738"
Ben Hill County, Georgia,"17,450","17,449","17,357","17,251","17,037","16,822","16,700"
Berrien County, Georgia,"19,059","18,813","18,991","18,996","19,108","19,266","19,397"
Bibb County, Georgia,"155,031","154,329","153,945","153,152","152,840","152,903","153,159"
Bleckley County, Georgia,"12,744","12,713","12,714","12,864","12,764","12,821","12,873"
Brantley County, Georgia,"18,257","18,366","18,437","18,415","18,832","18,985","19,109"
Brooks County, Georgia,"15,649","15,526","15,670","15,725","15,617","15,479","15,457"
Bryan County, Georgia,"33,034","33,664","34,792","35,839","36,999","38,059","39,627"
Bulloch County, Georgia,"71,816","72,651","73,116","74,642","75,991","77,242","79,608"
Burke County, Georgia,"22,824","22,621","22,632","22,601","22,545","22,439","22,383"
Butts County, Georgia,"23,218","23,341","23,520","23,736","24,067","24,192","24,936"
Calhoun County, Georgia,"6,596","6,506","6,534","6,359","6,389","6,353","6,189"
Camden County, Georgia,"51,404","51,909","52,439","52,394","53,005","53,651","54,666"
Candler County, Georgia,"10,960","10,865","10,873","10,849","10,706","10,827","10,803"
Carroll County, Georgia,"112,265","113,933","114,461","116,077","117,390","117,997","119,992"
Catoosa County, Georgia,"65,221","65,467","65,778","66,265","66,495","67,380","67,580"
Charlton County, Georgia,"13,107","13,051","13,239","12,842","12,810","12,919","13,392"
Chatham County, Georgia,"277,650","282,201","285,959","288,615","289,309","289,166","289,430"
Chattahoochee County, Georgia,"12,245","11,696","11,042","10,047","10,205","10,600","10,907"
Chattooga County, Georgia,"25,049","24,861","24,905","24,836","24,746","24,782","24,789"
Cherokee County, Georgia,"224,314","230,167","235,329","241,795","247,763","253,914","258,773"
Clarke County, Georgia,"120,888","120,386","123,561","124,905","126,815","127,268","128,331"
Clay County, Georgia,"3,015","3,072","3,077","3,005","2,955","2,884","2,834"
Clayton County, Georgia,"264,015","266,629","272,720","279,333","284,184","289,197","292,256"
Clinch County, Georgia,"6,758","6,781","6,826","6,742","6,643","6,603","6,618"
Cobb County, Georgia,"716,017","727,543","739,052","748,178","752,649","756,070","760,141"
Coffee County, Georgia,"43,078","42,884","42,987","42,908","42,880","43,055","43,273"
Colquitt County, Georgia,"46,126","45,864","45,466","45,429","45,480","45,455","45,600"
Columbia County, Georgia,"136,141","139,104","143,837","147,370","151,529","154,077","156,714"
Cook County, Georgia,"17,051","17,297","17,070","17,162","17,213","17,171","17,270"
Coweta County, Georgia,"132,944","135,140","138,145","140,497","143,153","145,998","148,509"
Crawford County, Georgia,"12,483","12,401","12,354","12,268","12,263","12,334","12,404"
Crisp County, Georgia,"23,298","23,061","22,959","22,905","22,710","22,617","22,372"
Dade County, Georgia,"16,453","16,289","16,162","16,224","16,254","16,227","16,116"
Dawson County, Georgia,"22,732","23,022","23,369","23,668","24,406","25,127","26,108"
Decatur County, Georgia,"27,391","27,167","27,049","26,679","26,706","26,573","26,404"
DeKalb County, Georgia,"717,740","724,892","734,434","746,802","751,176","754,906","759,297"
Dodge County, Georgia,"21,429","21,173","21,142","20,854","20,749","20,793","20,605"
Dooly County, Georgia,"14,372","14,246","14,034","13,853","13,691","13,709","13,390"
Dougherty County, Georgia,"93,411","92,742","91,513","90,389","89,457","89,200","87,956"
Douglas County, Georgia,"136,024","138,007","140,173","141,664","143,376","145,024","146,343"
Early County, Georgia,"10,540","10,450","10,462","10,306","10,317","10,286","10,190"
Echols County, Georgia,"3,993","4,032","4,030","3,956","3,914","4,000","4,006"
Effingham County, Georgia,"54,419","55,410","57,076","58,699","60,086","62,228","64,296"
Elbert County, Georgia,"19,490","19,387","19,302","19,136","19,102","19,095","19,194"
Emanuel County, Georgia,"22,631","22,482","22,471","22,406","22,533","22,607","22,646"
Evans County, Georgia,"10,794","10,811","10,690","10,648","10,741","10,702","10,654"
Fannin County, Georgia,"23,831","23,863","24,442","25,032","25,332","25,981","26,188"
Fayette County, Georgia,"108,054","109,199","110,141","111,218","112,553","113,181","114,421"
Floyd County, Georgia,"95,880","95,868","96,186","96,698","97,500","97,964","98,498"
Forsyth County, Georgia,"193,801","202,598","211,250","220,481","228,940","236,993","244,252"
Franklin County, Georgia,"22,045","22,175","22,267","22,316","22,864","23,034","23,349"
Fulton County, Georgia,"981,472","991,847","1,005,127","1,022,866","1,038,938","1,050,131","1,063,937"
Gilmer County, Georgia,"28,717","28,994","29,514","29,911","30,443","30,835","31,369"
Glascock County, Georgia,"3,060","3,008","3,020","2,978","3,032","2,977","2,971"
Glynn County, Georgia,"81,497","82,177","83,311","84,099","84,675","84,975","85,292"
Gordon County, Georgia,"55,761","55,836","56,324","56,933","57,164","57,628","57,963"
Grady County, Georgia,"25,101","25,215","25,089","24,869","24,773","24,774","24,633"
Greene County, Georgia,"16,243","16,418","16,617","16,869","17,203","17,733","18,324"
Gwinnett County, Georgia,"853,459","870,986","888,494","904,962","918,186","927,337","936,250"
Habersham County, Georgia,"43,154","43,564","43,792","44,104","44,535","45,373","45,328"
Hall County, Georgia,"186,431","189,142","192,245","196,159","198,953","201,538","204,441"
Hancock County, Georgia,"8,952","8,571","8,578","8,633","8,539","8,368","8,457"
Haralson County, Georgia,"28,335","28,487","28,702","28,830","29,248","29,561","29,792"
Harris County, Georgia,"32,532","32,737","33,155","33,633","33,943","34,560","35,236"
Hart County, Georgia,"25,456","25,362","25,410","25,471","25,710","26,071","26,205"
Heard County, Georgia,"11,564","11,623","11,556","11,579","11,751","11,871","11,923"
Henry County, Georgia,"210,012","212,957","216,414","220,896","225,182","229,728","234,561"
Houston County, Georgia,"147,527","148,575","149,323","151,622","153,202","155,523","157,863"
Irwin County, Georgia,"9,345","9,078","9,135","9,302","9,352","9,396","9,416"
Jackson County, Georgia,"61,268","62,101","63,418","65,061","67,644","70,325","72,977"
Jasper County, Georgia,"13,597","13,531","13,683","13,767","13,882","14,029","14,219"
Jeff Davis County, Georgia,"15,042","14,927","15,013","14,965","15,039","15,048","15,115"
Jefferson County, Georgia,"16,240","16,119","15,917","15,755","15,630","15,424","15,362"
Jenkins County, Georgia,"9,194","9,034","8,899","8,812","8,813","8,765","8,676"
Johnson County, Georgia,"9,900","9,803","9,708","9,660","9,737","9,706","9,643"
Jones County, Georgia,"28,576","28,652","28,441","28,574","28,466","28,680","28,735"
Lamar County, Georgia,"17,929","18,189","18,236","18,484","18,600","18,961","19,077"
Lanier County, Georgia,"10,412","10,369","10,269","10,430","10,425","10,355","10,423"
Laurens County, Georgia,"47,733","47,569","47,486","47,279","47,376","47,336","47,546"
Lee County, Georgia,"29,039","29,122","29,173","29,184","29,410","29,751","29,992"
Liberty County, Georgia,"62,341","64,091","61,611","61,473","61,619","60,606","61,435"
Lincoln County, Georgia,"7,734","7,644","7,722","7,855","7,856","7,925","7,921"
Long County, Georgia,"16,484","17,029","17,658","18,372","18,780","19,091","19,559"
Lowndes County, Georgia,"112,883","113,506","113,342","114,360","115,404","116,309","117,406"
Lumpkin County, Georgia,"30,873","31,120","31,285","31,415","32,801","32,899","33,610"
McDuffie County, Georgia,"21,499","21,524","21,462","21,456","21,511","21,532","21,312"
McIntosh County, Georgia,"14,027","14,064","14,031","14,057","14,080","14,322","14,378"
Macon County, Georgia,"13,976","13,819","13,688","13,478","13,254","13,160","12,947"
Madison County, Georgia,"28,202","28,362","28,419","28,856","29,295","29,642","29,880"
Marion County, Georgia,"8,580","8,632","8,558","8,468","8,403","8,373","8,359"
Meriwether County, Georgia,"21,217","21,208","21,173","21,074","21,021","21,094","21,167"
Miller County, Georgia,"5,899","5,944","5,848","5,874","5,813","5,684","5,718"
Mitchell County, Georgia,"22,992","22,715","22,449","22,455","22,317","22,135","21,863"
Monroe County, Georgia,"26,619","26,667","26,708","26,905","27,163","27,503","27,578"
Montgomery County, Georgia,"8,957","8,982","8,942","8,985","9,024","9,168","9,172"
Morgan County, Georgia,"17,682","17,896","17,948","18,107","18,373","18,831","19,276"
Murray County, Georgia,"39,178","39,215","39,430","39,347","39,803","39,943","40,096"
Muscogee County, Georgia,"203,225","200,563","198,702","196,219","193,836","194,169","195,769"
Newton County, Georgia,"102,040","103,441","104,884","106,499","107,846","109,421","111,744"
Oconee County, Georgia,"34,077","35,072","35,853","36,929","38,122","39,478","40,280"
Oglethorpe County, Georgia,"14,423","14,541","14,732","14,712","14,874","15,080","15,259"
Paulding County, Georgia,"146,753","148,532","151,649","155,246","159,509","164,053","168,667"
Peach County, Georgia,"27,162","27,142","26,970","26,885","26,961","27,363","27,546"
Pickens County, Georgia,"29,387","29,807","30,136","30,652","31,541","32,014","32,591"
