County,State,2013,2014,2015,2016,2017,2018,2019
Pope County, Arkansas,"62,588","63,117","63,608","63,897","63,634","63,594","64,072"
Prairie County, Arkansas,"8,375","8,347","8,299","8,252","8,248","8,082","8,062"
Pulaski County, Arkansas,"391,512","392,952","393,576","394,151","393,280","391,918","391,911"
Randolph County, Arkansas,"17,625","17,569","17,437","17,444","17,665","17,970","17,958"
St, Francis County,"27,508","27,088","26,651","26,347","25,997","25,509","24,994"
Saline County, Arkansas,"113,348","114,874","116,390","117,656","119,520","121,074","122,437"
Scott County, Arkansas,"10,934","10,686","10,561","10,332","10,369","10,339","10,281"
Searcy County, Arkansas,"7,991","7,924","7,835","7,968","7,927","7,930","7,881"
Sebastian County, Arkansas,"127,173","126,733","127,385","127,385","127,786","127,570","127,827"
Sevier County, Arkansas,"17,356","17,410","17,262","16,971","17,103","17,061","17,007"
Sharp County, Arkansas,"17,043","16,820","16,808","17,007","17,147","17,290","17,442"
Stone County, Arkansas,"12,423","12,381","12,386","12,509","12,520","12,454","12,506"
Union County, Arkansas,"40,604","40,136","40,086","39,879","39,460","39,139","38,682"
Van Buren County, Arkansas,"16,985","16,907","16,808","16,669","16,552","16,635","16,545"
Washington County, Arkansas,"216,000","219,941","224,434","228,482","232,732","236,611","239,187"
White County, Arkansas,"78,567","78,471","78,915","78,917","78,844","78,381","78,753"
Woodruff County, Arkansas,"7,018","6,860","6,706","6,600","6,575","6,466","6,320"
Yell County, Arkansas,"21,819","21,768","21,506","21,502","21,509","21,462","21,341"
Alameda County, California,"1,579,593","1,607,792","1,634,538","1,650,950","1,660,196","1,666,756","1,671,329"
Alpine County, California,"1,128","1,080","1,077","1,047","1,111","1,089","1,129"
Amador County, California,"36,620","36,726","37,031","37,429","38,529","39,405","39,752"
Butte County, California,"221,641","223,516","224,631","226,231","228,696","230,339","219,186"
Calaveras County, California,"44,655","44,671","44,965","45,322","45,681","45,698","45,905"
Colusa County, California,"21,250","21,176","21,231","21,496","21,579","21,418","21,547"
Contra Costa County, California,"1,093,401","1,108,876","1,124,405","1,137,268","1,145,535","1,150,519","1,153,526"
Del Norte County, California,"27,816","27,175","27,190","27,382","27,351","27,740","27,812"
El Dorado County, California,"181,481","183,108","184,569","185,976","188,679","190,746","192,843"
Fresno County, California,"951,514","960,567","969,488","976,830","985,238","991,950","999,101"
Glenn County, California,"27,809","27,831","27,753","27,840","27,926","27,967","28,393"
Humboldt County, California,"134,403","134,494","135,102","136,290","136,507","136,244","135,558"
Imperial County, California,"176,438","177,974","178,937","180,179","181,649","181,523","181,215"
Inyo County, California,"18,357","18,292","18,108","17,922","17,868","17,946","18,039"
Kern County, California,"862,000","869,176","876,031","880,856","887,356","893,758","900,202"
Kings County, California,"150,337","149,495","150,085","149,382","149,665","151,382","152,940"
Lake County, California,"63,796","64,044","64,260","63,903","64,111","64,317","64,386"
Lassen County, California,"32,129","31,664","31,256","30,721","30,920","30,618","30,573"
Los Angeles County, California,"9,992,484","10,040,072","10,085,416","10,105,708","10,103,711","10,073,906","10,039,107"
Madera County, California,"151,370","153,456","153,576","153,956","155,423","156,882","157,327"
Marin County, California,"258,409","260,359","260,916","260,562","259,749","259,662","258,826"
Mariposa County, California,"17,809","17,714","17,622","17,456","17,414","17,405","17,203"
Mendocino County, California,"87,054","87,225","87,107","87,285","87,576","87,401","86,749"
Merced County, California,"262,026","264,419","266,353","267,628","271,096","274,151","277,680"
Modoc County, California,"9,145","9,068","9,056","8,961","8,876","8,800","8,841"
Mono County, California,"14,067","14,134","14,077","14,273","14,354","14,403","14,444"
Monterey County, California,"426,712","428,475","430,552","433,953","434,534","433,950","434,061"
Napa County, California,"139,580","140,405","140,862","140,840","139,878","138,789","137,744"
Nevada County, California,"97,938","98,572","98,676","98,913","99,367","99,508","99,755"
Orange County, California,"3,104,950","3,126,537","3,149,280","3,164,986","3,174,289","3,175,973","3,175,692"
Placer County, California,"365,398","369,217","372,841","378,943","385,115","392,330","398,329"
Plumas County, California,"18,895","18,622","18,427","18,665","18,660","18,741","18,807"
Riverside County, California,"2,286,755","2,316,162","2,345,816","2,380,081","2,414,964","2,445,789","2,470,546"
Sacramento County, California,"1,457,341","1,474,917","1,493,674","1,510,987","1,527,301","1,538,746","1,552,058"
