Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Henry, OH,1029,6.2,10934,,
Highland, OH,2687,5.7,16693,,
Hocking, OH,2048,5.5,11369,,
Holmes, OH,1112,6.3,12554,,
Huron, OH,2376,5.9,22820,,
Jackson, OH,1577,5.4,13010,,
Jefferson, OH,3717,5.7,29109,,
Knox, OH,2511,6,22607,,
Lake, OH,7046,6,94156,,
Lawrence, OH,2629,5.5,24974,,
Licking, OH,5302,6,63989,,
Logan, OH,5070,5.5,18111,,
Lorain, OH,10762,6,116274,,
Lucas, OH,22363,5.8,180267,,
Madison, OH,1205,5.7,14734,,
Mahoning, OH,13121,5.8,98712,,
Marion, OH,3143,5.8,24691,,
Medina, OH,4038,6.5,65143,,
Meigs, OH,1634,5.6,9557,,
Mercer, OH,2101,5.9,15532,,
Miami, OH,3339,6,40917,,
Monroe, OH,1502,5.8,6065,,
Montgomery, OH,30832,5.6,223943,,
Morgan, OH,1858,5.5,6034,,
Morrow, OH,1300,6,12855,,
Muskingum, OH,3803,5.5,34271,,
Noble, OH,1201,5.7,4852,,
Ottawa, OH,10406,5.7,17503,,
Paulding, OH,980,5.9,7769,,
Perry, OH,1635,5.6,13576,,
Pickaway, OH,1651,5.8,19624,,
Pike, OH,1469,5.3,11012,,
Portage, OH,5250,5.8,62222,,
Preble, OH,1547,5.8,16341,,
Putnam, OH,859,6.4,12872,,
Richland, OH,5678,5.8,48921,,
Ross, OH,3229,5.6,28919,,
Sandusky, OH,2208,5.9,24182,,
Scioto, OH,3272,5.4,30870,,
Seneca, OH,2348,6.1,21774,,
Shelby, OH,1706,5.9,18467,,
Stark, OH,14126,5.9,151089,,
Summit, OH,22328,5.8,222781,,
Trumbull, OH,10152,5.8,86011,,
Tuscarawas, OH,3241,5.8,36965,,
Union, OH,1364,6.3,18065,,
Van Wert, OH,1176,6.3,11439,,
Vinton, OH,1031,5.3,5260,,
Warren, OH,4326,6.4,76424,,
Washington, OH,2780,5.7,25587,,
Wayne, OH,3209,5.9,42638,,
Williams, OH,1593,5.8,15075,,
Wood, OH,4333,6,49043,,
Wyandot, OH,779,6,9091,,
OKLAHOMA,,203928,5.3,1460450,,
Adair, OK,986,5.3,8156,,
Alfalfa, OK,741,5.4,2022,,
Atoka, OK,921,5.1,5391,,
Beaver, OK,478,5.6,2192,,
Beckham, OK,1484,5.1,8163,,
Blaine, OK,1234,5.4,3959,,
Bryan, OK,2748,5.1,16838,,
Caddo, OK,2496,5.2,10645,,
Canadian, OK,3376,5.7,42434,,
Carter, OK,2513,5.2,18635,,
Cherokee, OK,3619,5,17836,,
Choctaw, OK,1251,5,6270,,
Cimarron, OK,540,5.5,1047,,
Cleveland, OK,6515,5.4,98306,,
Coal, OK,460,5.1,2350,,
Comanche, OK,5757,5.2,44982,,
Cotton, OK,533,5.3,2483,,
Craig, OK,1058,5.3,5691,,
Creek, OK,3222,5.4,26539,,
Custer, OK,1506,5.1,10698,,
Delaware, OK,7725,5.1,17093,,
Dewey, OK,501,5.3,1944,,
Ellis, OK,503,5.5,1782,,
Garfield, OK,2656,5.4,24175,,
Garvin, OK,1758,5.2,11069,,
Grady, OK,2327,5.4,19892,,
Grant, OK,576,5.6,1910,,
Greer, OK,557,5.2,2181,,
Harmon, OK,432,5.1,1112,,
Harper, OK,381,5.4,1527,,
Haskell, OK,984,5.2,5044,,
Hughes, OK,1133,5.4,5050,,
Jackson, OK,1830,5.2,10247,,
Jefferson, OK,744,5.1,2634,,
Johnston, OK,814,5.2,4312,,
Kay, OK,3131,5.4,18577,,
Kingfisher, OK,678,5.8,5731,,
Kiowa, OK,1238,5,3978,,
Latimer, OK,771,5.1,4208,,
Le Flore, OK,2570,5.2,18878,,
Lincoln, OK,1965,5.3,13243,,
Logan, OK,1905,5.6,15290,,
Love, OK,826,5.1,3713,,
McClain, OK,1105,5.5,12891,,
McCurtain, OK,2575,5.1,12958,,
McIntosh, OK,4890,5,8460,,
Major, OK,562,5.7,3109,,
Marshall, OK,3668,5,6338,,
Mayes, OK,3231,5.1,16008,,
Murray, OK,1396,5.3,5350,,
Muskogee, OK,3854,5.3,27054,,
Noble, OK,727,5.4,4614,,
Nowata, OK,604,5.4,4224,,
Okfuskee, OK,928,5.4,4354,,
Oklahoma, OK,32230,5.2,287598,,
Okmulgee, OK,2529,5.4,15362,,
Osage, OK,2938,5.5,18205,,
Ottawa, OK,1715,5.2,12345,,
Pawnee, OK,1259,5.3,6486,,
Payne, OK,3814,5.1,30177,,
Pittsburg, OK,4622,5.3,18012,,
Pontotoc, OK,1941,5.1,14654,,
Pottawatomie, OK,3228,5.3,25911,,
Pushmataha, OK,1301,5,4809,,
Roger Mills, OK,435,5.3,1470,,
Rogers, OK,3276,5.7,31884,,
Seminole, OK,1892,5.2,9750,,
Sequoyah, OK,2448,5.2,16208,,
Stephens, OK,2531,5.3,18127,,
Texas, OK,996,5.2,7212,,
Tillman, OK,861,5.2,3216,,
Tulsa, OK,26689,5.4,241737,,
Wagoner, OK,2816,5.6,26878,,
Washington, OK,2415,5.7,21036,,
Washita, OK,880,5.5,4599,,
Woods, OK,945,5.4,3533,,
Woodward, OK,1184,5.4,7654,,
OREGON,,156624,5.4,1518938,,
Baker, OR,1786,5.5,7040,,
Benton, OR,1928,5.4,34317,,
Clackamas, OR,11155,5.9,145790,,
Clatsop, OR,5804,5.2,15742,,
Columbia, OR,1515,5.8,19183,,
Coos, OR,3460,5.1,27133,,
Crook, OR,1644,5.4,8558,,
Curry, OR,2196,4.8,10417,,
Deschutes, OR,16049,5.6,64090,,
Douglas, OR,4334,5.4,44581,,
Gilliam, OR,292,5.3,864,,
Grant, OR,992,5.5,3352,,
Harney, OR,630,5.5,3205,,
Hood River, OR,1098,5.5,8173,,
Jackson, OR,7861,5.2,83076,,
Jefferson, OR,2025,5.1,7790,,
Josephine, OR,3355,5.2,34646,,
Klamath, OR,5494,5.3,27280,,
Lake, OR,1061,5.1,3378,,
Lane, OR,10146,5.3,145966,,
Lincoln, OR,10060,5.3,20550,,
Linn, OR,3617,5.5,45204,,
Malheur, OR,1281,5.4,10411,,
Marion, OR,7991,5.3,112957,,
Morrow, OR,526,5.3,3916,,
Multnomah, OR,20292,5.1,304540,,
Polk, OR,2014,5.7,28288,,
Sherman, OR,141,5.8,777,,
Tillamook, OR,7525,5.1,10834,,
Umatilla, OR,2789,5.3,26904,,
Union, OR,988,5.4,10501,,
Wallowa, OR,975,5.6,3133,,
Wasco, OR,1456,5.4,10031,,
Washington, OR,11516,5.5,200934,,
Wheeler, OR,244,5.5,651,,
Yamhill, OR,2384,5.6,34726,,
PENNSYLVANIA,,548411,5.9,5018904,,
Adams, PA,2807,6.1,38013,,
Allegheny, PA,55241,5.7,533960,,
Armstrong, PA,3807,5.6,28713,,
Beaver, PA,6828,5.7,71383,,
Bedford, PA,3721,5.7,20233,,
Berks, PA,10471,6.1,154356,,
Blair, PA,4117,5.9,52159,,
Bradford, PA,4658,6,25321,,
Bucks, PA,11107,6.5,234849,,
Butler, PA,5332,6,72835,,
Cambria, PA,6700,5.9,58950,,
Cameron, PA,2182,5.7,2273,,
Carbon, PA,7615,5.8,26684,,
Centre, PA,5724,5.6,57573,,
Chester, PA,9562,6.9,182900,,
Clarion, PA,3834,5.7,16128,,
Clearfield, PA,6356,5.9,32288,,
Clinton, PA,3929,5.7,15151,,
Columbia, PA,3019,5.8,26479,,
Crawford, PA,9658,5.7,35028,,
Cumberland, PA,6045,6.1,93943,,
Dauphin, PA,9971,5.8,110435,,
Delaware, PA,14202,6.2,208700,,
Elk, PA,3892,5.9,13693,,
Erie, PA,8725,5.8,110413,,
Fayette, PA,6776,5.5,55997,,
Forest, PA,6249,4.1,2511,,
Franklin, PA,4830,5.9,58389,,
Fulton, PA,1108,5.8,6014,,
Greene, PA,1736,5.6,14724,,
Huntingdon, PA,5085,5.6,17280,,
Indiana, PA,3231,5.8,35005,,
Jefferson, PA,3873,5.9,18561,,
Juniata, PA,1502,5.7,9476,,
Lackawanna, PA,9606,5.9,87226,,
Lancaster, PA,9350,6.1,193602,,
Lawrence, PA,3849,5.8,37126,,
Lebanon, PA,3334,5.9,52258,,
Lehigh, PA,8630,6.1,133983,,
Luzerne, PA,16816,5.9,131932,,
Lycoming, PA,5800,5.8,46700,,
McKean, PA,4042,5.8,17183,,
Mercer, PA,5291,5.8,46442,,
Mifflin, PA,2794,5.7,18743,,
Monroe, PA,19268,6,61091,,
Montgomery, PA,17985,6.5,307750,,
Montour, PA,572,5.8,7393,,
Northampton, PA,6798,6.2,113565,,
Northumberland, PA,5883,6.1,39242,,
Perry, PA,2521,5.7,17903,,
Philadelphia, PA,70435,5.6,599736,,
Pike, PA,16425,5.6,21925,,
Potter, PA,5705,5.2,7227,,
Schuylkill, PA,9131,6.1,60192,,
Snyder, PA,1277,5.9,14750,,
Somerset, PA,7023,5.8,31090,,
Sullivan, PA,3527,5.7,2777,,
Susquehanna, PA,5170,5.9,17798,,
Tioga, PA,4637,5.7,16727,,
Union, PA,2232,5.8,14765,,
Venango, PA,4843,5.7,22621,,
Warren, PA,5793,5.6,17767,,
Washington, PA,7888,5.9,85089,,
Wayne, PA,11028,5.8,20625,,
Westmoreland, PA,14549,5.9,153650,,
Wyoming, PA,2017,5.8,11237,,
York, PA,10299,6.1,168372,,
RHODE ISLAND,,49788,5.3,413600,,
Bristol, RI,1700,6,19150,,
Kent, RI,5056,5.5,68645,,
Newport, RI,6885,5.6,34911,,
Providence, RI,23118,5.1,241717,,
Washington, RI,13029,5.8,49177,,
SOUTH CAROLINA,,336502,5.5,1801181,,
Abbeville, SC,2089,5.3,9990,,
Aiken, SC,7996,5.7,64253,,
Allendale, SC,780,5.3,3706,,
Anderson, SC,10945,5.4,73829,,
Bamberg, SC,1668,5.4,6048,,
Barnwell, SC,1547,5.5,8937,,
Beaufort, SC,28078,5.6,64945,,
Berkeley, SC,7953,5.6,65419,,
Calhoun, SC,1260,5.6,6080,,
Charleston, SC,25675,5.5,144309,,
Cherokee, SC,2478,5.2,21519,,
Chester, SC,1825,5.4,12876,,
Chesterfield, SC,3309,5.3,18173,,
Clarendon, SC,4335,5.6,13132,,
Colleton, SC,4770,5.5,15131,,
Darlington, SC,3766,5.4,26531,,
Dillon, SC,1819,5.2,11923,,
Dorchester, SC,4927,5.9,50259,,
Edgefield, SC,1211,5.9,9348,,
Fairfield, SC,2262,5.5,9419,,
Florence, SC,6013,5.4,52653,,
Georgetown, SC,9148,5.7,24524,,
Greenville, SC,18931,5.6,176531,,
Greenwood, SC,3507,5.3,27547,,
Hampton, SC,1542,5.5,7598,,
Horry, SC,73767,4.9,112225,,
Jasper, SC,1782,5.4,8517,,
Kershaw, SC,3550,5.8,23928,,
Lancaster, SC,2990,5.5,29697,,
Laurens, SC,5184,5.3,25525,,
Lee, SC,978,5.6,6797,,
Lexington, SC,11224,5.8,102733,,
McCormick, SC,1426,5.5,4027,,
Marion, SC,1895,5.2,13058,,
Marlboro, SC,1689,5.2,10383,,
Newberry, SC,3213,5.4,14709,,
Oconee, SC,8087,5.5,30676,,
Orangeburg, SC,6716,5.4,35788,,
Pickens, SC,6016,5.4,45228,,
Richland, SC,16531,5.6,145194,,
Saluda, SC,1762,5.4,7527,,
Spartanburg, SC,13382,5.4,109246,,
Sumter, SC,5613,5.9,40398,,
Union, SC,2179,5.2,11974,,
Williamsburg, SC,2352,5.4,13007,,
York, SC,8332,5.6,85864,,
SOUTH DAKOTA,,41156,5.6,322282,,
Aurora, SD,222,6.1,1102,,
Beadle, SD,1028,5.6,7276,,
Bennett, SD,173,5.3,1090,,
Bon Homme, SD,474,5.9,2457,,
Brookings, SD,1108,5.4,12029,,
Brown, SD,1217,5.6,15489,,
Brule, SD,297,5.5,2136,,
Buffalo, SD,77,5,532,,
Butte, SD,461,5.7,4160,,
Campbell, SD,286,5.4,694,,
Charles Mix, SD,600,5.5,3249,,
Clark, SD,265,6.3,1445,,
Clay, SD,529,5,5110,,
Codington, SD,965,5.7,11432,,
Corson, SD,280,5.4,1260,,
Custer, SD,992,5.4,3636,,
Davison, SD,556,5.4,8296,,
Day, SD,1126,5.6,2504,,
Deuel, SD,385,5.9,1819,,
Dewey, SD,272,5,1730,,
Douglas, SD,229,6.5,1210,,
Edmunds, SD,359,5.8,1607,,
Fall River, SD,919,5.2,3272,,
Faulk, SD,267,5.8,869,,
Grant, SD,437,5.6,3089,,
Gregory, SD,567,5.4,1936,,
Haakon, SD,163,5.5,850,,
Hamlin, SD,652,5.8,2108,,
Hand, SD,321,6.2,1494,,
Hanson, SD,132,6.7,1045,,
Harding, SD,192,5.4,539,,
Hughes, SD,557,5.6,7066,,
Hutchinson, SD,421,5.9,2930,,
Hyde, SD,108,5.7,600,,
Jackson, SD,197,5.2,996,,
Jerauld, SD,200,6.2,870,,
Jones, SD,131,5.8,458,,
Kingsbury, SD,498,6.3,2222,,
Lake, SD,1076,5.8,4483,,
Lawrence, SD,2220,5.3,10536,,
Lincoln, SD,1226,6.5,16649,,
Lyman, SD,312,5.3,1392,,
McCook, SD,323,6.1,2168,,
McPherson, SD,393,5.7,1025,,
Marshall, SD,719,5.6,1815,,
Meade, SD,1097,5.4,9903,,
Mellette, SD,145,5.5,693,,
Miner, SD,276,6.2,1032,,
Minnehaha, SD,4529,5.6,67028,,
Moody, SD,270,6.4,2554,,
Pennington, SD,3698,5.4,41251,,
Perkins, SD,448,5.6,1291,,
Potter, SD,438,5.3,1062,,
Roberts, SD,1082,5.7,3823,,
Sanborn, SD,197,6.2,975,,
Shannon, SD,449,5,3144,,
Spink, SD,531,6.1,2608,,
Stanley, SD,159,5.3,1228,,
Sully, SD,235,6,610,,
Todd, SD,362,5.3,2780,,
Tripp, SD,653,5.4,2419,,
Turner, SD,487,6.3,3452,,
Union, SD,524,5.9,5756,,
Walworth, SD,611,5.3,2392,,
Yankton, SD,882,5.5,8770,,
Ziebach, SD,151,5.3,836,,
TENNESSEE,,318581,5.5,2493552,,
Anderson, TN,3464,5.3,31253,,
Bedford, TN,1830,5.4,16530,,
Benton, TN,1912,5.3,7063,,
Bledsoe, TN,1021,5.2,4697,,
Blount, TN,6001,5.7,49265,,
Bradley, TN,3448,5.4,37947,,
Campbell, TN,3612,5.3,16354,,
Cannon, TN,565,5.3,5472,,
Carroll, TN,1677,5.5,11507,,
Carter, TN,3549,5.2,24197,,
Cheatham, TN,1143,5.6,14520,,
Chester, TN,772,5.5,6208,,
Claiborne, TN,2006,5.3,12853,,
Clay, TN,924,5.8,3358,,
Cocke, TN,2671,5.1,14788,,
Coffee, TN,2508,5.6,20926,,
Crockett, TN,716,5.4,5709,,
Cumberland, TN,4360,5.5,23791,,
Davidson, TN,24479,5.2,259499,,
Decatur, TN,1946,5.2,4927,,
DeKalb, TN,1985,5.4,7420,,
Dickson, TN,1713,5.6,19107,,
Dyer, TN,1520,5.4,15183,,
Fayette, TN,1164,5.9,14505,,
Fentress, TN,1711,5.8,7250,,
Franklin, TN,2686,5.7,16011,,
Gibson, TN,2309,5.5,19690,,
Giles, TN,1969,5.4,11875,,
Grainger, TN,1865,5.2,9029,,
Greene, TN,4007,5.4,28018,,
Grundy, TN,992,5.2,5405,,
Hamblen, TN,2403,5.5,24560,,
Hamilton, TN,14425,5.6,136682,,
Hancock, TN,799,5.1,2825,,
Hardeman, TN,1550,5.3,9301,,
Hardin, TN,3303,5.4,10643,,
Hawkins, TN,3527,5.3,23343,,
Haywood, TN,856,5.3,7459,,
Henderson, TN,1552,5.5,11224,,
Henry, TN,3450,5.4,13604,,
Hickman, TN,1335,5.4,8976,,
Houston, TN,839,5.4,3349,,
Humphreys, TN,1411,5.4,7454,,
Jackson, TN,1054,5.6,4789,,
Jefferson, TN,3635,5.4,19864,,
Johnson, TN,1761,5.3,7195,,
Knox, TN,17700,5.6,177249,,
Lake, TN,328,5.2,2270,,
Lauderdale, TN,1461,5.3,9795,,
Lawrence, TN,1902,5.5,16275,,
Lewis, TN,689,5.5,4781,,
Lincoln, TN,1859,5.6,13382,,
Loudon, TN,1899,6,19826,,
McMinn, TN,2476,5.3,20865,,
McNairy, TN,1607,5.3,10326,,
Macon, TN,1300,5.6,8561,,
Madison, TN,3804,5.6,38073,,
Marion, TN,1551,5.2,11403,,
Marshall, TN,1269,5.6,11850,,
Maury, TN,3591,5.7,31663,,
Meigs, TN,942,4.9,4686,,
Monroe, TN,3076,5.3,17711,,
Montgomery, TN,6425,5.5,63673,,
Moore, TN,423,5.8,2492,,
Morgan, TN,1228,5.2,7692,,
Obion, TN,1582,5.4,13077,,
Overton, TN,1475,5.7,8820,,
Perry, TN,1439,5.2,3160,,
Pickett, TN,1285,5.6,2177,,
Polk, TN,1338,5,6653,,
Putnam, TN,2952,5.5,28930,,
Rhea, TN,2089,5.4,12276,,
Roane, TN,3340,5.6,22376,,
Robertson, TN,1889,5.7,24197,,
Rutherford, TN,6736,5.5,96232,,
Scott, TN,1239,5.2,8671,,
Sequatchie, TN,849,5.2,5519,,
Sevier, TN,20575,5.2,35343,,
Shelby, TN,47303,5.5,350971,,
Smith, TN,1119,5.5,7410,,
Stewart, TN,1392,5.3,5386,,
Sullivan, TN,7462,5.6,66298,,
Sumner, TN,4993,6,60975,,
Tipton, TN,1582,5.5,21617,,
Trousdale, TN,392,5.5,2976,,
Unicoi, TN,1104,5.4,7726,,
Union, TN,1567,5.2,7391,,
Van Buren, TN,417,5.3,2246,,
Warren, TN,1971,5.4,15850,,
Washington, TN,5932,5.4,51322,,
Wayne, TN,1151,5.4,6136,,
Weakley, TN,1597,5.4,13898,,
White, TN,1239,5.6,10272,,
Williamson, TN,3612,7.4,64886,,
Wilson, TN,3005,6.2,42563,,
TEXAS,,1054503,5.3,8922933,,
Anderson, TX,2898,5.1,17218,,
Andrews, TX,555,5.4,5259,,
Angelina, TX,4499,5.1,31090,,
Aransas, TX,5560,4.7,9795,,
Archer, TX,569,5.6,3538,,
Armstrong, TX,153,5.4,751,,
Atascosa, TX,2385,5.1,15246,,
Austin, TX,2089,5.2,10837,,
Bailey, TX,316,5.3,2468,,
Bandera, TX,2997,5.1,8564,,
Bastrop, TX,3476,5.4,25840,,
Baylor, TX,996,5,1669,,
Bee, TX,1607,5,9042,,
Bell, TX,11435,5.3,114035,,
Bexar, TX,53941,5.3,608931,,
Blanco, TX,1223,5.1,4309,,
Borden, TX,121,5.2,264,,
Bosque, TX,2369,5.2,7254,,
Bowie, TX,3824,5.3,34669,,
Brazoria, TX,11747,5.6,106589,,
Brazos, TX,5961,4.9,71739,,
Brewster, TX,1176,4.6,4207,,
Briscoe, TX,261,5.2,692,,
Brooks, TX,597,5.1,2642,,
Brown, TX,3509,5.3,14778,,
Burleson, TX,2010,5,6822,,
Burnet, TX,4359,5.2,16511,,
Caldwell, TX,1458,5.1,12301,,
Calhoun, TX,3644,5,7766,,
Callahan, TX,1102,5.5,5447,,
Cameron, TX,22293,4.9,119631,,
Camp, TX,978,5,4678,,
Carson, TX,332,5.4,2452,,
Cass, TX,1950,5.1,12429,,
Castro, TX,422,5.2,2744,,
Chambers, TX,1339,5.4,11952,,
Cherokee, TX,2965,5,17894,,
Childress, TX,557,5,2326,,
Clay, TX,831,5.4,4319,,
Cochran, TX,247,5.1,1113,,
Coke, TX,1201,4.8,1466,,
Coleman, TX,1686,5.5,3857,,
Collin, TX,17201,6.5,283759,,
Collingsworth, TX,437,5.2,1179,,
Colorado, TX,2345,5.2,8182,,
Comal, TX,5745,5.6,41363,,
Comanche, TX,1643,5.1,5580,,
Concho, TX,596,5.1,1041,,
Cooke, TX,2093,5.4,14513,,
Coryell, TX,2633,5.5,22545,,
Cottle, TX,291,5.2,677,,
Crane, TX,161,5.3,1471,,
Crockett, TX,444,4.7,1422,,
Crosby, TX,665,4.9,2237,,
Culberson, TX,229,5.1,908,,
Dallam, TX,379,5.1,2448,,
Dallas, TX,87297,5.1,855960,,
Dawson, TX,835,5.2,4385,,
Deaf Smith, TX,712,5.2,6365,,
Delta, TX,370,5.3,2088,,
Denton, TX,15850,5.9,240289,,
DeWitt, TX,1769,5.1,7407,,
Dickens, TX,352,5.1,930,,
Dimmit, TX,929,5.1,3421,,
Donley, TX,625,4.9,1517,,
Duval, TX,1433,5.1,4090,,
Eastland, TX,2793,5.3,7465,,
Ector, TX,4339,5.1,48688,,
Edwards, TX,767,4.8,839,,
Ellis, TX,3862,5.7,50503,,
El Paso, TX,13750,5.3,256557,,
Erath, TX,2418,5,14569,,
Falls, TX,1422,5.2,6302,,
Fannin, TX,2042,5.2,12149,,
Fayette, TX,3790,5.3,10078,,
Fisher, TX,544,5.2,1668,,
Floyd, TX,602,5.3,2402,,
Foard, TX,216,4.8,573,,
Fort Bend, TX,9646,6.7,187384,,
Franklin, TX,1611,5.1,4159,,
Freestone, TX,2006,5.1,7259,,
Frio, TX,992,5,4854,,
Gaines, TX,695,5.2,5606,,
Galveston, TX,23523,5.3,108969,,
Garza, TX,566,5.1,1671,,
Gillespie, TX,2206,5.4,10572,,
Glasscock, TX,139,5.4,441,,
Goliad, TX,842,5.3,2868,,
Gonzales, TX,1674,4.6,7120,,
Gray, TX,1715,5.3,8443,,
Grayson, TX,6822,5.3,46905,,
Gregg, TX,3716,5.3,45798,,
Grimes, TX,2015,5.2,8902,,
Guadalupe, TX,4253,5.7,45762,,
Hale, TX,1695,5,11846,,
Hall, TX,571,5.1,1372,,
Hamilton, TX,1124,5.3,3442,,
Hansford, TX,332,5.4,2006,,
Hardeman, TX,695,5.1,1722,,
Hardin, TX,2135,5.3,20462,,
Harris, TX,163543,5.2,1435155,,
Harrison, TX,3181,5.4,24523,,
Hartley, TX,175,5.7,1771,,
Haskell, TX,1146,5,2297,,
Hays, TX,4172,5.3,55245,,
Hemphill, TX,247,5.4,1382,,
Henderson, TX,8575,5,31020,,
Hidalgo, TX,31816,4.9,216471,,
Hill, TX,2880,5.2,13238,,
Hockley, TX,1051,5.1,8242,,
Hood, TX,4156,5.5,20795,,
Hopkins, TX,1721,5.2,13308,,
Houston, TX,2876,5,8656,,
Howard, TX,1791,5.1,11333,,
Hudspeth, TX,353,5.1,1174,,
Hunt, TX,4628,5.1,32076,,
Hutchinson, TX,1817,5.2,8812,,
Irion, TX,203,5.2,653,,
Jack, TX,959,5.2,3136,,
Jackson, TX,1306,4.5,5284,,
Jasper, TX,3028,5.1,13770,,
Jeff Davis, TX,579,4.9,1034,,
Jefferson, TX,10983,5.2,93441,,
Jim Hogg, TX,539,4.8,1902,,
Jim Wells, TX,2186,5.1,13961,,
Johnson, TX,4526,5.6,52193,,
Jones, TX,1388,5.2,6034,,
Karnes, TX,1187,5,4463,,
Kaufman, TX,3358,5.6,34964,,
Kendall, TX,1438,5.8,12617,,
Kenedy, TX,86,3.8,147,,
Kent, TX,202,5.1,350,,
Kerr, TX,3281,5.2,20550,,
Kimble, TX,1355,4.9,2016,,
King, TX,73,4.9,113,,
Kinney, TX,590,4.8,1350,,
Kleberg, TX,1690,4.8,11097,,
Knox, TX,538,5.1,1506,,
Lamar, TX,2652,5.2,19829,,
Lamb, TX,1047,5.1,5081,,
Lampasas, TX,1179,5.2,7539,,
La Salle, TX,815,4.7,1931,,
Lavaca, TX,2536,4.7,7808,,
Lee, TX,1348,5.2,6151,,
Leon, TX,2613,5,6896,,
Liberty, TX,3686,5.1,25073,,
Limestone, TX,2037,5.4,8499,,
Lipscomb, TX,249,5.3,1263,,
Live Oak, TX,1808,4.8,4257,,
Llano, TX,5272,4.9,9008,,
Loving, TX,11,4.2,39,,
Lubbock, TX,9283,5,105781,,
Lynn, TX,430,5.2,2246,,
McCulloch, TX,964,5.1,3338,,
McLennan, TX,8232,5.2,86892,,
McMullen, TX,175,5,310,,
Madison, TX,909,5.2,4187,,
Marion, TX,1623,5,4595,,
Martin, TX,203,5.3,1649,,
Mason, TX,979,5.1,1754,,
Matagorda, TX,4907,4.9,13894,,
Maverick, TX,1899,4.9,15563,,
Medina, TX,2461,5.3,15530,,
Menard, TX,708,4.7,994,,
Midland, TX,3506,5.4,50845,,
Milam, TX,1897,5.2,9408,,
Mills, TX,871,5.2,1975,,
Mitchell, TX,1255,5.1,2809,,
Montague, TX,2142,5.3,7989,,
Montgomery, TX,15117,5.9,162530,,
Moore, TX,684,5,7197,,
Morris, TX,798,5.2,5226,,
Motley, TX,237,4.8,542,,
Nacogdoches, TX,3545,5,23861,,
Navarro, TX,2854,5.2,17380,,
Newton, TX,1666,5,5476,,
Nolan, TX,1153,5.1,5999,,
Nueces, TX,16446,5,124587,,
Ochiltree, TX,445,5.2,3617,,
Oldham, TX,150,5.3,691,,
Orange, TX,4282,5.3,31031,,
Palo Pinto, TX,4343,5.2,10871,,
Panola, TX,1649,5.5,9271,,
Parker, TX,4559,5.7,42069,,
Parmer, TX,386,5,3413,,
Pecos, TX,691,5,4894,,
Polk, TX,6180,5,16503,,
Potter, TX,4338,4.9,42933,,
Presidio, TX,919,4.7,2906,,
Rains, TX,892,4.9,4377,,
Randall, TX,3612,5.4,47975,,
Reagan, TX,216,5.1,1156,,
Real, TX,1225,4.8,1374,,
Red River, TX,1357,4.8,5469,,
Reeves, TX,801,5,3839,,
Refugio, TX,885,5,2841,,
Roberts, TX,80,6,359,,
Robertson, TX,1943,5.1,6541,,
Rockwall, TX,1491,6.7,26448,,
Runnels, TX,1133,5.7,4165,,
Rusk, TX,2715,5.1,18476,,
Sabine, TX,3250,4.9,4738,,
San Augustine, TX,1717,5,3625,,
San Jacinto, TX,3091,4.9,10096,,
San Patricio, TX,3884,5.1,22637,,
San Saba, TX,920,5,2257,,
Schleicher, TX,307,5.3,1182,,
Scurry, TX,1125,5.1,5838,,
Shackelford, TX,387,5.4,1367,,
Shelby, TX,2225,5,9648,,
Sherman, TX,171,5.3,1081,,
Smith, TX,8254,5.2,79055,,
Somervell, TX,596,5.1,3078,,
Starr, TX,2525,5,17001,,
Stephens, TX,1273,5.4,3665,,
Sterling, TX,175,5.3,440,,
Stonewall, TX,286,5,642,,
Sutton, TX,481,5.1,1550,,
Swisher, TX,459,5.2,2762,,
Tarrant, TX,57669,5.4,657134,,
Taylor, TX,5025,5.2,50725,,
Terrell, TX,270,4.6,430,,
Terry, TX,628,5.1,4200,,
Throckmorton, TX,358,5.4,721,,
Titus, TX,1241,5.1,10813,,
Tom Green, TX,4240,5.2,42331,,
Travis, TX,36773,5,404467,,
Trinity, TX,2571,5,6142,,
Tyler, TX,2572,5,8007,,
Upshur, TX,1688,5.2,14925,,
Upton, TX,292,5.2,1256,,
Uvalde, TX,1786,5.1,9025,,
Val Verde, TX,2997,4.9,15654,,
Van Zandt, TX,2770,5.3,20047,,
Victoria, TX,3230,5.3,32187,,
Walker, TX,3089,5.1,20969,,
Waller, TX,1799,5.1,14040,,
Ward, TX,699,5.1,3995,,
Washington, TX,2477,5.3,13037,,
Webb, TX,6390,5,67106,,
Wharton, TX,1995,5.1,15132,,
Wheeler, TX,549,5.3,2181,,
Wichita, TX,6550,5.1,49016,,
Wilbarger, TX,1029,5,5289,,
Willacy, TX,1276,4.9,5764,,
Williamson, TX,10167,5.9,152606,,
Wilson, TX,1757,5.5,15009,,
Winkler, TX,449,5.2,2578,,
Wise, TX,2766,5.5,21015,,
Wood, TX,3743,5.1,17118,,
Yoakum, TX,335,5.2,2643,,
Young, TX,1279,5.2,7343,,
Zapata, TX,1906,4.3,4297,,
Zavala, TX,710,4.9,3573,,
UTAH,,102017,6.2,877692,,
Beaver, UT,643,5.5,2265,,
Box Elder, UT,1268,7,16058,,
Cache, UT,2302,6.2,34722,,
Carbon, UT,1573,5.7,7978,,
Daggett, UT,715,5,426,,
Davis, UT,4025,7,93545,,
