Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Montgomery, GA,634,5.3,3287,,
Morgan, GA,812,5.9,6660,,
Murray, GA,1899,4.9,14080,,
Muscogee, GA,8609,5.4,74081,,
Newton, GA,3952,6,34390,,
Oconee, GA,761,6.4,11622,,
Oglethorpe, GA,837,5.5,5647,,
Paulding, GA,4025,5.9,48105,,
Peach, GA,1092,5.5,9958,,
Pickens, GA,2401,5.8,11291,,
Pierce, GA,903,5.6,7083,,
Pike, GA,633,5.8,6187,,
Polk, GA,1816,5.3,15092,,
Pulaski, GA,676,5.2,4475,,
Putnam, GA,4203,5.3,8601,,
Quitman, GA,994,4.8,1053,,
Rabun, GA,5533,5.2,6780,,
Randolph, GA,966,5.4,3187,,
Richmond, GA,9407,5.5,76924,,
Rockdale, GA,3245,6.2,30027,,
Schley, GA,336,5.5,1872,,
Screven, GA,1143,5.5,5596,,
Seminole, GA,1288,5.2,3509,,
Spalding, GA,3212,5.5,23565,,
Stephens, GA,2373,5.2,10289,,
Stewart, GA,521,5.1,1862,,
Sumter, GA,1786,5.3,12123,,
Talbot, GA,567,5.4,2832,,
Taliaferro, GA,256,5.4,759,,
Tattnall, GA,1756,5.1,8210,,
Taylor, GA,1041,5.2,3522,,
Telfair, GA,1754,5.1,5543,,
Terrell, GA,561,5.1,3519,,
Thomas, GA,2604,5.6,17573,,
Tift, GA,1598,5.4,14836,,
Toombs, GA,1769,5.2,10375,,
Towns, GA,3221,5.3,4510,,
Treutlen, GA,449,5.5,2543,,
Troup, GA,3218,5.5,24828,,
Turner, GA,502,5.6,3339,,
Twiggs, GA,601,5.5,3634,,
Union, GA,4936,5.3,9116,,
Upson, GA,1445,5.1,10716,,
Walker, GA,3603,5.4,26497,,
Walton, GA,2852,6,29583,,
Ware, GA,2672,5.3,13654,,
Warren, GA,670,5.4,2315,,
Washington, GA,1500,5.5,7547,,
Wayne, GA,1637,5.5,10562,,
Webster, GA,404,5.1,1119,,
Wheeler, GA,473,5.3,2152,,
White, GA,5416,5.5,10646,,
Whitfield, GA,4719,5.4,35180,,
Wilcox, GA,619,5.3,2891,,
Wilkes, GA,895,5.6,4263,,
Wilkinson, GA,821,5.6,3666,,
Worth, GA,1037,5.5,8214,,
HAWAII,,64170,4.6,455338,,
Hawaii, HI,15228,4.8,67096,,
Honolulu, HI,25852,4.7,311047,,
Kalawao, HI,44,2.5,69,,
Kauai, HI,6553,4.7,23240,,
Maui, HI,16493,4,53886,,
IDAHO,,88388,5.6,579408,,
Ada, ID,11026,5.8,148445,,
Adams, ID,888,5.1,1748,,
Bannock, ID,2509,5.9,30682,,
Bear Lake, ID,1633,5.9,2281,,
Benewah, ID,792,5.5,3837,,
Bingham, ID,1142,5.9,14999,,
Blaine, ID,6227,5,8823,,
Boise, ID,2318,4.9,2974,,
Bonner, ID,7569,5.2,17100,,
Bonneville, ID,3102,6.3,36629,,
Boundary, ID,754,5.2,4421,,
Butte, ID,225,5.6,1129,,
Camas, ID,344,5,487,,
Canyon, ID,5805,5.6,63604,,
Caribou, ID,620,5.9,2606,,
Cassia, ID,706,5.8,7666,,
Clark, ID,186,5.1,345,,
Clearwater, ID,793,5.3,3660,,
Custer, ID,1167,5.1,1936,,
Elmore, ID,2022,5.6,10140,,
Franklin, ID,449,6.7,4079,,
Fremont, ID,4095,5.3,4436,,
Gem, ID,604,5.8,6495,,
Gooding, ID,562,5.7,5531,,
Idaho, ID,1910,5.2,6834,,
Jefferson, ID,576,6.1,8146,,
Jerome, ID,561,5.8,7540,,
Kootenai, ID,8977,5.4,54200,,
Latah, ID,1280,5.1,14708,,
Lemhi, ID,1153,5.1,3576,,
Lewis, ID,223,5.4,1657,,
Lincoln, ID,271,5.6,1705,,
Madison, ID,669,5.3,10611,,
Minidoka, ID,495,5.5,7170,,
Nez Perce, ID,1197,5.4,16241,,
Oneida, ID,361,6.1,1545,,
Owyhee, ID,705,5.4,4076,,
Payette, ID,683,5.4,8262,,
Power, ID,303,5.8,2641,,
Shoshone, ID,1456,5.2,5605,,
Teton, ID,1827,5.3,3651,,
Twin Falls, ID,2312,5.7,28760,,
Valley, ID,7396,5,4393,,
Washington, ID,495,5.7,4034,,
ILLINOIS,,459743,5.5,4836972,,
Adams, IL,2467,5.7,27375,,
