Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
Union, OR," 1,965 ", 159 
Wallowa, OR, 170 , 66 
Wasco, OR, 769 , 55 
Washington, OR," 25,922 "," 6,789 "
Wheeler, OR, 1 , 12 
Yamhill, OR," 6,127 ", 596 
PENNSYLVANIA,," 698,587 "," 162,408 "
Adams, PA," 6,422 ", 810 
Allegheny, PA," 74,491 "," 24,176 "
Armstrong, PA," 2,005 ", 324 
Beaver, PA," 7,246 "," 1,263 "
Bedford, PA," 1,232 ", 300 
Berks, PA," 22,553 "," 3,747 "
Blair, PA," 5,412 ", 718 
Bradford, PA," 1,592 ", 495 
Bucks, PA," 27,577 "," 7,055 "
Butler, PA," 10,448 "," 1,529 "
Cambria, PA," 8,494 ", 863 
Cameron, PA, 146 , 19 
Carbon, PA," 2,025 ", 592 
Centre, PA," 35,612 "," 5,316 "
Chester, PA," 27,063 "," 7,558 "
Clarion, PA," 4,022 ", 245 
Clearfield, PA," 2,409 ", 286 
Clinton, PA," 3,612 ", 455 
Columbia, PA," 7,870 ", 639 
Crawford, PA," 4,025 ", 682 
Cumberland, PA," 17,390 "," 2,707 "
Dauphin, PA," 9,854 "," 3,191 "
Delaware, PA," 37,616 "," 8,974 "
Elk, PA," 1,014 ", 89 
Erie, PA," 18,823 "," 3,493 "
Fayette, PA," 4,735 ", 750 
Forest, PA, 98 , 19 
Franklin, PA," 4,891 "," 1,096 "
Fulton, PA, 392 , 74 
Greene, PA," 1,841 ", 138 
Huntingdon, PA," 2,312 ", 201 
Indiana, PA," 10,728 "," 1,153 "
Jefferson, PA," 1,268 ", 213 
Juniata, PA, 466 , 54 
Lackawanna, PA," 11,926 "," 2,874 "
Lancaster, PA," 23,360 "," 4,183 "
Lawrence, PA," 4,080 ", 712 
Lebanon, PA," 5,136 ", 898 
Lehigh, PA," 16,365 "," 4,004 "
Luzerne, PA," 15,595 "," 3,037 "
Lycoming, PA," 6,876 ", 687 
McKean, PA," 1,416 ", 268 
Mercer, PA," 6,722 ", 938 
Mifflin, PA, 985 , 226 
Monroe, PA," 9,532 "," 1,888 "
Montgomery, PA," 39,357 "," 14,803 "
Montour, PA, 490 , 223 
Northampton, PA," 18,653 "," 3,631 "
Northumberland, PA," 2,340 ", 533 
Perry, PA," 1,231 ", 241 
Philadelphia, PA," 100,152 "," 32,007 "
Pike, PA," 1,728 ", 502 
Potter, PA, 430 , 88 
Schuylkill, PA," 4,297 ", 866 
Snyder, PA," 2,836 ", 284 
Somerset, PA," 2,152 ", 308 
Sullivan, PA, 126 , 2 
Susquehanna, PA," 1,173 ", 229 
Tioga, PA," 2,388 ", 375 
Union, PA," 5,107 ", 218 
Venango, PA," 1,493 ", 298 
Warren, PA," 1,064 ", 193 
Washington, PA," 9,851 "," 1,619 "
Wayne, PA," 1,358 ", 670 
Westmoreland, PA," 16,190 "," 2,693 "
Wyoming, PA," 1,370 ", 184 
York, PA," 17,124 "," 3,502 "
RHODE ISLAND,," 78,402 "," 15,971 "
Bristol, RI," 3,984 ", 997 
Kent, RI," 8,298 "," 1,717 "
Newport, RI," 5,020 "," 1,971 "
Providence, RI," 47,743 "," 9,445 "
Washington, RI," 13,357 "," 1,841 "
SOUTH CAROLINA,," 230,838 "," 43,524 "
Abbeville, SC," 1,467 ", 177 
Aiken, SC," 6,828 "," 1,409 "
Allendale, SC, 288 , 129 
Anderson, SC," 7,471 "," 1,339 "
Bamberg, SC," 1,541 ", 170 
Barnwell, SC, 909 , 116 
Beaufort, SC," 5,774 "," 1,052 "
Berkeley, SC," 7,869 "," 1,285 "
Calhoun, SC, 503 , 96 
Charleston, SC," 22,866 "," 6,678 "
Cherokee, SC," 2,190 ", 489 
Chester, SC, 963 , 203 
Chesterfield, SC," 1,331 ", 126 
Clarendon, SC," 1,120 ", 194 
Colleton, SC," 1,565 ", 179 
Darlington, SC," 2,584 ", 600 
Dillon, SC," 1,003 ", 88 
Dorchester, SC," 5,823 "," 1,029 "
Edgefield, SC, 886 , 105 
Fairfield, SC, 818 , 132 
Florence, SC," 6,322 ", 969 
Georgetown, SC," 2,083 ", 434 
Greenville, SC," 22,269 "," 4,338 "
Greenwood, SC," 4,015 ", 454 
Hampton, SC, 876 , 51 
Horry, SC," 10,184 "," 1,270 "
Jasper, SC, 451 , 160 
Kershaw, SC," 1,820 ", 449 
Lancaster, SC," 1,885 ", 517 
Laurens, SC," 3,457 ", 213 
Lee, SC, 399 , 122 
Lexington, SC," 11,424 "," 2,158 "
McCormick, SC, 311 , 10 
Marion, SC, 926 , 207 
Marlboro, SC, 819 , 56 
Newberry, SC," 1,529 ", 246 
Oconee, SC," 2,932 ", 418 
Orangeburg, SC," 6,691 ", 780 
Pickens, SC," 16,240 "," 2,366 "
Richland, SC," 29,529 "," 8,466 "
Saluda, SC, 657 , 38 
Spartanburg, SC," 13,688 "," 1,875 "
Sumter, SC," 5,605 ", 584 
Union, SC," 1,217 ", 112 
Williamsburg, SC," 1,170 ", 79 
York, SC," 10,540 "," 1,556 "
SOUTH DAKOTA,," 45,491 "," 7,427 "
Aurora, SD, 43 , 9 
Beadle, SD, 197 , 70 
Bennett, SD, 174 , -   
Bon Homme, SD, 101 , 5 
Brookings, SD," 7,659 ", 775 
Brown, SD," 2,299 ", 164 
Brule, SD, 122 , 86 
Buffalo, SD, 48 , -   
Butte, SD, 332 , 22 
Campbell, SD, 7 , 5 
Charles Mix, SD, 137 , 48 
Clark, SD, 33 , 16 
Clay, SD," 4,221 ", 916 
Codington, SD," 1,094 ", 96 
Corson, SD, 165 , 8 
Custer, SD, 104 , 36 
Davison, SD," 1,089 ", 173 
Day, SD, 172 , 21 
Deuel, SD, 88 , 99 
Dewey, SD, 115 , 36 
Douglas, SD, 55 , 5 
Edmunds, SD, 94 , 12 
Fall River, SD, 168 , 31 
Faulk, SD, 14 , 7 
Grant, SD, 59 , -   
Gregory, SD, 58 , 16 
Haakon, SD, 7 , -   
Hamlin, SD, 168 , 26 
Hand, SD, 42 , 18 
Hanson, SD, 55 , 21 
Harding, SD, 8 , -   
Hughes, SD, 371 , 99 
Hutchinson, SD, 51 , 18 
Hyde, SD, 18 , -   
Jackson, SD, 38 , 26 
Jerauld, SD, 29 , -   
Jones, SD, 13 , 6 
Kingsbury, SD, 103 , 54 
Lake, SD," 1,145 ", 91 
Lawrence, SD," 2,222 ", 300 
Lincoln, SD," 1,562 ", 305 
Lyman, SD, 59 , 41 
McCook, SD, 158 , 36 
McPherson, SD, 33 , -   
Marshall, SD, 123 , 26 
Meade, SD," 1,115 ", 128 
Mellette, SD, 87 , 16 
Miner, SD, 55 , 27 
Minnehaha, SD," 9,501 "," 1,774 "
Moody, SD, 197 , 34 
Pennington, SD," 5,266 ", 827 
Perkins, SD, 60 , 14 
Potter, SD, 13 , 3 
Roberts, SD, 342 , 51 
Sanborn, SD, 59 , 4 
Shannon, SD, 621 , 65 
Spink, SD, 133 , 44 
Stanley, SD, 28 , 19 
Sully, SD, 22 , -   
Todd, SD, 738 , 228 
Tripp, SD, 89 , 5 
Turner, SD, 251 , 79 
Union, SD, 467 , 118 
Walworth, SD, 105 , 39 
Yankton, SD," 1,374 ", 203 
Ziebach, SD, 115 , 26 
TENNESSEE,," 302,179 "," 61,203 "
Anderson, TN," 2,074 ", 351 
Bedford, TN, 929 , 197 
Benton, TN, 305 , 10 
Bledsoe, TN, 414 , 61 
Blount, TN," 5,105 ", 942 
Bradley, TN," 6,198 ", 983 
Campbell, TN," 1,133 ", 219 
Cannon, TN, 292 , 50 
Carroll, TN, 827 , 111 
Carter, TN," 2,931 ", 577 
Cheatham, TN," 1,230 ", 266 
Chester, TN," 1,465 ", 170 
Claiborne, TN," 1,289 ", 242 
Clay, TN, 90 , 68 
Cocke, TN, 898 , 151 
Coffee, TN," 1,688 ", 430 
Crockett, TN, 361 , 47 
Cumberland, TN, 996 , 317 
Davidson, TN," 40,860 "," 11,851 "
Decatur, TN, 375 , -   
DeKalb, TN, 969 , 62 
Dickson, TN," 1,399 ", 176 
Dyer, TN," 1,322 ", 97 
Fayette, TN," 1,181 ", 148 
Fentress, TN, 354 , 108 
Franklin, TN," 2,138 ", 353 
Gibson, TN," 1,437 ", 289 
Giles, TN," 1,195 ", 80 
Grainger, TN, 593 , 47 
Greene, TN," 1,756 ", 442 
Grundy, TN, 216 , 118 
Hamblen, TN," 1,956 ", 294 
Hamilton, TN," 17,774 "," 3,099 "
Hancock, TN, 160 , 24 
Hardeman, TN, 872 , 75 
Hardin, TN, 797 , 76 
Hawkins, TN," 2,225 ", 192 
Haywood, TN, 443 , 100 
Henderson, TN," 1,051 ", 64 
Henry, TN, 771 , 208 
Hickman, TN, 717 , 10 
Houston, TN, 211 , -   
Humphreys, TN, 436 , 67 
Jackson, TN, 337 , 22 
Jefferson, TN," 2,512 ", 402 
Johnson, TN, 167 , 60 
Knox, TN," 34,472 "," 6,933 "
Lake, TN, 195 , 13 
Lauderdale, TN, 785 , 42 
Lawrence, TN," 1,439 ", 293 
Lewis, TN, 285 , 41 
Lincoln, TN, 971 , 106 
Loudon, TN, 937 , 199 
McMinn, TN," 1,427 ", 194 
McNairy, TN, 883 , 58 
Macon, TN, 556 , 73 
Madison, TN," 5,325 ", 926 
Marion, TN, 893 , 64 
Marshall, TN, 894 , 105 
Maury, TN," 3,024 ", 323 
Meigs, TN, 339 , 67 
Monroe, TN," 1,151 ", 202 
Montgomery, TN," 11,332 "," 1,661 "
Moore, TN, 164 , -   
Morgan, TN, 411 , 60 
Obion, TN," 1,002 ", 143 
Overton, TN, 601 , 114 
Perry, TN, 320 , 11 
Pickett, TN, 110 , 49 
Polk, TN, 485 , 9 
Putnam, TN," 7,442 ", 595 
Rhea, TN," 1,197 ", 172 
Roane, TN," 1,725 ", 95 
Robertson, TN," 1,681 ", 371 
Rutherford, TN," 17,815 "," 3,317 "
Scott, TN, 658 , 94 
Sequatchie, TN, 708 , 239 
Sevier, TN," 2,371 ", 447 
Shelby, TN," 46,000 "," 12,980 "
Smith, TN, 519 , 87 
Stewart, TN, 420 , 84 
Sullivan, TN," 5,915 "," 1,091 "
Sumner, TN," 5,717 ", 931 
Tipton, TN," 2,277 ", 320 
Trousdale, TN, 165 , -   
Unicoi, TN, 656 , 133 
Union, TN, 328 , 53 
Van Buren, TN, 165 , 4 
Warren, TN," 1,045 ", 182 
Washington, TN," 8,501 "," 1,845 "
Wayne, TN, 537 , 70 
Weakley, TN," 3,875 ", 379 
White, TN, 615 , 87 
Williamson, TN," 6,822 "," 1,630 "
Wilson, TN," 4,575 ", 655 
TEXAS,," 1,300,293 "," 241,057 "
Anderson, TX," 2,303 ", 201 
Andrews, TX, 359 , 61 
Angelina, TX," 3,128 ", 301 
Aransas, TX, 701 , 162 
Archer, TX, 214 , 76 
Armstrong, TX, 52 , -   
Atascosa, TX," 1,593 ", 113 
Austin, TX, 827 , 50 
Bailey, TX, 194 , 11 
Bandera, TX, 480 , 106 
Bastrop, TX," 2,061 ", 305 
Baylor, TX, 105 , -   
Bee, TX," 1,427 ", 166 
Bell, TX," 18,489 "," 1,942 "
Bexar, TX," 101,083 "," 18,128 "
Blanco, TX, 298 , 51 
Borden, TX, 15 , -   
Bosque, TX, 351 , 56 
Bowie, TX," 4,245 ", 666 
Brazoria, TX," 13,772 "," 2,867 "
Brazos, TX," 44,660 "," 6,523 "
Brewster, TX," 1,274 ", 148 
Briscoe, TX, 22 , 16 
Brooks, TX, 79 , 32 
Brown, TX," 1,379 ", 116 
Burleson, TX, 271 , 84 
Burnet, TX, 992 , 143 
Caldwell, TX," 1,045 ", 140 
Calhoun, TX, 615 , 100 
Callahan, TX, 630 , 90 
Cameron, TX," 17,616 "," 1,862 "
Camp, TX, 380 , 67 
Carson, TX, 281 , 68 
Cass, TX, 944 , 190 
Castro, TX, 196 , 6 
Chambers, TX," 1,014 ", 91 
Cherokee, TX," 1,310 ", 89 
Childress, TX, 141 , -   
Clay, TX, 282 , 44 
Cochran, TX, 58 , 8 
Coke, TX, 41 , -   
Coleman, TX, 160 , 20 
Collin, TX," 36,809 "," 9,885 "
Collingsworth, TX, 70 , 29 
Colorado, TX, 569 , 106 
Comal, TX," 3,491 ", 681 
Comanche, TX, 352 , 46 
Concho, TX, 12 , 28 
Cooke, TX," 1,319 ", 169 
Coryell, TX," 4,354 ", 287 
Cottle, TX, 71 , -   
Crane, TX, 67 , 18 
Crockett, TX, 64 , -   
Crosby, TX, 150 , 31 
Culberson, TX, 99 , -   
Dallam, TX, 141 , 18 
Dallas, TX," 106,002 "," 24,732 "
Dawson, TX, 356 , 62 
Deaf Smith, TX, 408 , 53 
Delta, TX, 196 , -   
Denton, TX," 45,353 "," 10,012 "
DeWitt, TX, 655 , 33 
Dickens, TX, 30 , -   
Dimmit, TX, 238 , 106 
Donley, TX, 530 , 34 
Duval, TX, 413 , 31 
Eastland, TX," 1,345 ", 58 
Ector, TX," 6,622 ", 677 
Edwards, TX, 18 , -   
Ellis, TX," 6,636 ", 856 
El Paso, TX," 50,578 "," 7,790 "
Erath, TX," 5,610 ", 320 
Falls, TX, 633 , 64 
Fannin, TX, 999 , 120 
Fayette, TX, 513 , 97 
Fisher, TX, 79 , 15 
Floyd, TX, 106 , 12 
Foard, TX, 5 , -   
Fort Bend, TX," 28,380 "," 6,209 "
Franklin, TX, 583 , 102 
Freestone, TX, 821 , 59 
Frio, TX, 603 , 8 
Gaines, TX, 331 , 84 
Galveston, TX," 15,249 "," 3,317 "
Garza, TX, 157 , -   
Gillespie, TX, 296 , 22 
Glasscock, TX, 53 , -   
Goliad, TX, 147 , 25 
Gonzales, TX, 325 , 52 
Gray, TX, 679 , 66 
Grayson, TX," 6,247 ", 763 
Gregg, TX," 5,432 ", 646 
Grimes, TX, 744 , 43 
Guadalupe, TX," 5,962 "," 1,100 "
Hale, TX," 1,767 ", 177 
Hall, TX, 67 , 4 
Hamilton, TX, 287 , 14 
Hansford, TX, 71 , 22 
Hardeman, TX, 116 , -   
Hardin, TX," 1,550 ", 204 
Harris, TX," 184,565 "," 43,486 "
Harrison, TX," 4,406 ", 483 
Hartley, TX, 75 , 5 
Haskell, TX, 33 , 12 
Hays, TX," 22,325 "," 1,893 "
Hemphill, TX, 107 , -   
Henderson, TX," 3,442 ", 364 
Hidalgo, TX," 32,324 "," 4,240 "
Hill, TX," 1,531 ", 93 
Hockley, TX," 1,771 ", 150 
Hood, TX," 1,563 ", 264 
Hopkins, TX," 1,170 ", 172 
Houston, TX, 587 , 42 
Howard, TX," 1,095 ", 85 
Hudspeth, TX, 94 , 32 
Hunt, TX," 4,120 ", 912 
Hutchinson, TX, 956 , 106 
Irion, TX, 12 , -   
Jack, TX, 66 , 27 
Jackson, TX, 304 , 55 
Jasper, TX, 920 , 122 
Jeff Davis, TX, 8 , 26 
Jefferson, TX," 13,269 "," 1,838 "
Jim Hogg, TX, 136 , 13 
Jim Wells, TX," 1,170 ", 59 
Johnson, TX," 5,864 ", 829 
Jones, TX, 309 , 78 
Karnes, TX, 361 , 10 
Kaufman, TX," 3,943 ", 672 
Kendall, TX," 1,030 ", 236 
Kenedy, TX, 54 , -   
Kent, TX, 8 , -   
Kerr, TX," 1,727 ", 203 
Kimble, TX, 56 , 26 
King, TX, 4 , -   
Kinney, TX, 39 , -   
Kleberg, TX," 4,355 ", 942 
Knox, TX, 82 , 18 
Lamar, TX," 2,294 ", 265 
Lamb, TX, 429 , 51 
Lampasas, TX, 757 , 97 
La Salle, TX, 114 , -   
Lavaca, TX, 398 , 59 
Lee, TX, 368 , 53 
Leon, TX, 337 , 28 
Liberty, TX," 2,100 ", 222 
Limestone, TX, 699 , 62 
Lipscomb, TX, 45 , 15 
Live Oak, TX, 307 , 61 
Llano, TX, 290 , 53 
Loving, TX, -   , -   
Lubbock, TX," 32,333 "," 5,713 "
Lynn, TX, 46 , 6 
McCulloch, TX, 90 , -   
McLennan, TX," 25,238 "," 2,584 "
McMullen, TX, 29 , 7 
Madison, TX, 611 , 20 
Marion, TX, 235 , 3 
Martin, TX, 91 , 10 
Mason, TX, 102 , -   
Matagorda, TX, 975 , 124 
Maverick, TX," 2,503 ", 342 
Medina, TX," 1,983 ", 388 
Menard, TX, 31 , 9 
Midland, TX," 5,872 "," 1,093 "
Milam, TX, 758 , 30 
Mills, TX, 75 , 7 
Mitchell, TX, 193 , 64 
Montague, TX, 313 , 35 
Montgomery, TX," 16,583 "," 2,111 "
Moore, TX, 918 , 71 
Morris, TX, 323 , 51 
Motley, TX, -   , 6 
Nacogdoches, TX," 10,960 ", 801 
Navarro, TX," 2,980 ", 137 
Newton, TX, 331 , 78 
Nolan, TX, 556 , 133 
Nueces, TX," 19,411 "," 2,480 "
Ochiltree, TX, 283 , 27 
Oldham, TX, 85 , -   
Orange, TX," 2,569 ", 361 
Palo Pinto, TX, 700 , 288 
Panola, TX, 732 , 35 
Parker, TX," 4,298 ", 383 
Parmer, TX, 269 , 58 
Pecos, TX, 290 , 34 
Polk, TX," 1,130 ", 79 
Potter, TX," 5,662 ", 675 
Presidio, TX, 123 , 48 
Rains, TX, 379 , 96 
Randall, TX," 9,928 "," 1,821 "
Reagan, TX, 37 , 7 
Real, TX, 64 , 47 
Red River, TX, 505 , 75 
Reeves, TX, 274 , 49 
Refugio, TX, 140 , 48 
Roberts, TX, 21 , 1 
Robertson, TX, 297 , 44 
Rockwall, TX," 3,227 ", 704 
Runnels, TX, 162 , 7 
Rusk, TX," 1,595 ", 81 
Sabine, TX, 276 , 16 
San Augustine, TX, 226 , 33 
San Jacinto, TX, 616 , 70 
San Patricio, TX," 2,732 ", 281 
San Saba, TX, 162 , 22 
Schleicher, TX, 26 , 9 
Scurry, TX, 981 , 49 
Shackelford, TX, 75 , 4 
Shelby, TX, 693 , 98 
Sherman, TX, 56 , 13 
Smith, TX," 12,318 "," 1,478 "
Somervell, TX, 272 , -   
Starr, TX," 2,969 ", 92 
Stephens, TX, 145 , 81 
Sterling, TX, 56 , -   
Stonewall, TX, 14 , 19 
Sutton, TX, 97 , -   
Swisher, TX, 161 , 86 
Tarrant, TX," 86,414 "," 20,082 "
Taylor, TX," 11,602 "," 1,483 "
Terrell, TX, 6 , -   
Terry, TX, 271 , 13 
Throckmorton, TX, 47 , 3 
Titus, TX," 1,595 ", 71 
Tom Green, TX," 7,994 ", 880 
Travis, TX," 68,417 "," 22,818 "
Trinity, TX, 375 , 47 
Tyler, TX, 378 , 4 
Upshur, TX," 1,413 ", 136 
Upton, TX, 52 , 8 
Uvalde, TX," 1,154 ", 67 
Val Verde, TX," 1,842 ", 185 
Van Zandt, TX," 1,414 ", 292 
Victoria, TX," 3,483 ", 529 
Walker, TX," 10,701 ", 464 
Waller, TX," 3,156 ", 181 
Ward, TX, 116 , 23 
Washington, TX," 2,504 ", 94 
Webb, TX," 12,927 "," 1,608 "
Wharton, TX," 1,978 ", 216 
Wheeler, TX, 51 , 5 
Wichita, TX," 7,796 "," 1,247 "
Wilbarger, TX, 549 , 14 
Willacy, TX, 745 , 32 
Williamson, TX," 16,561 "," 3,114 "
Wilson, TX," 1,438 ", 204 
Winkler, TX, 100 , 23 
Wise, TX," 1,769 ", 358 
Wood, TX," 2,401 ", 155 
Yoakum, TX, 32 , 32 
Young, TX, 389 , 57 
Zapata, TX, 325 , 123 
Zavala, TX, 247 , 22 
UTAH,," 213,266 "," 29,515 "
Beaver, UT, 168 , 23 
Box Elder, UT," 2,115 ", 321 
Cache, UT," 19,194 "," 2,016 "
Carbon, UT," 1,389 ", 103 
Daggett, UT, 11 , 5 
Davis, UT," 18,707 "," 2,950 "
Duchesne, UT, 408 , 125 
Emery, UT, 219 , 78 
Garfield, UT, 53 , 36 
Grand, UT, 146 , 68 
Iron, UT," 5,985 ", 322 
Juab, UT, 319 , 67 
Kane, UT, 143 , 72 
Millard, UT, 219 , 82 
Morgan, UT, 381 , 20 
Piute, UT, 14 , 20 
Rich, UT, 74 , 49 
Salt Lake, UT," 62,560 "," 13,665 "
San Juan, UT, 466 , 78 
Sanpete, UT," 2,693 ", 108 
Sevier, UT, 875 , 73 
Summit, UT, 945 , 336 
Tooele, UT," 2,500 ", 252 
Uintah, UT, 858 , 136 
Utah, UT," 71,995 "," 5,883 "
Wasatch, UT, 681 , 213 
Washington, UT," 6,722 ", 784 
Wayne, UT, 58 , 14 
Weber, UT," 13,368 "," 1,616 "
VERMONT,," 40,534 "," 7,814 "
Addison, VT," 2,929 ", 360 
Bennington, VT," 1,862 ", 275 
Caledonia, VT," 1,693 ", 343 
Chittenden, VT," 17,108 "," 2,740 "
Essex, VT, 141 , 47 
Franklin, VT," 1,447 ", 574 
Grand Isle, VT, 217 , 71 
Lamoille, VT," 1,507 ", 274 
Orange, VT," 1,497 ", 420 
Orleans, VT, 869 , 178 
Rutland, VT," 3,997 ", 447 
Washington, VT," 3,580 ", 459 
Windham, VT," 2,001 ", 579 
Windsor, VT," 1,686 "," 1,047 "
VIRGINIA,," 469,097 "," 121,627 "
Accomack, VA," 1,257 ", 123 
Albemarle, VA," 8,409 "," 3,769 "
Alleghany, VA, 677 , 105 
Amelia, VA, 185 , 82 
Amherst, VA," 2,281 ", 161 
Appomattox, VA, 529 , 72 
Arlington, VA," 9,628 "," 9,580 "
Augusta, VA," 2,157 ", 269 
Bath, VA, 132 , -   
Bedford, VA," 2,313 ", 691 
Bland, VA, 176 , 15 
Botetourt, VA," 1,187 ", 159 
Brunswick, VA," 1,255 ", 175 
Buchanan, VA, 882 , 196 
Buckingham, VA, 199 , 2 
Campbell, VA," 2,440 ", 472 
Caroline, VA, 872 , 232 
Carroll, VA," 1,130 ", 162 
Charles City, VA, 214 , 32 
Charlotte, VA, 455 , 169 
Chesterfield, VA," 17,018 "," 3,962 "
Clarke, VA, 380 , 163 
Craig, VA, 161 , 22 
Culpeper, VA," 1,601 ", 468 
Cumberland, VA, 249 , -   
Dickenson, VA, 576 , 162 
Dinwiddie, VA, 690 , 200 
Essex, VA, 191 , 29 
Fairfax, VA," 56,981 "," 22,724 "
Fauquier, VA," 3,123 ", 489 
Floyd, VA, 493 , 141 
Fluvanna, VA, 679 , 161 
Franklin, VA," 2,436 ", 214 
Frederick, VA," 2,661 ", 774 
Giles, VA, 691 , 102 
Gloucester, VA," 1,255 ", 337 
Goochland, VA, 319 , 120 
Grayson, VA, 412 , 36 
Greene, VA, 541 , 53 
Greensville, VA, 326 , 34 
Halifax, VA," 1,222 ", 232 
Hanover, VA," 5,370 ", 920 
Henrico, VA," 13,580 "," 4,672 "
Henry, VA," 1,723 ", 173 
Highland, VA, 40 , 4 
Isle of Wight, VA," 1,562 ", 462 
James City, VA," 2,102 "," 1,021 "
King and Queen, VA, 179 , 29 
King George, VA, 832 , 332 
King William, VA, 548 , 29 
Lancaster, VA, 237 , 44 
Lee, VA, 849 , 100 
Loudoun, VA," 13,127 "," 4,866 "
Louisa, VA, 810 , 218 
Lunenburg, VA, 549 , 34 
Madison, VA, 468 , 317 
Mathews, VA, 279 , 26 
Mecklenburg, VA," 1,030 ", 218 
Middlesex, VA, 148 , 37 
Montgomery, VA," 26,440 "," 4,064 "
Nelson, VA, 190 , 74 
New Kent, VA, 641 , 108 
Northampton, VA, 298 , 44 
Northumberland, VA, 128 , 112 
Nottoway, VA, 626 , 172 
Orange, VA, 795 , 179 
Page, VA, 609 , 96 
Patrick, VA, 862 , 56 
Pittsylvania, VA," 2,157 ", 470 
Powhatan, VA, 300 , 199 
Prince Edward, VA," 4,378 ", 146 
Prince George, VA," 1,988 ", 279 
Prince William, VA," 18,073 "," 5,643 "
Pulaski, VA," 1,281 ", 291 
Rappahannock, VA, 351 , 33 
Richmond, VA, 376 , 18 
Roanoke, VA," 3,494 "," 1,001 "
Rockbridge, VA," 1,102 ", 152 
Rockingham, VA," 3,362 ", 543 
Russell, VA," 1,295 ", 116 
Scott, VA, 609 , 103 
Shenandoah, VA," 1,081 ", 301 
Smyth, VA," 1,173 ", 213 
Southampton, VA, 574 , 102 
Spotsylvania, VA," 5,664 "," 1,220 "
Stafford, VA," 5,859 "," 2,186 "
Surry, VA, 293 , 69 
Sussex, VA, 545 , 150 
Tazewell, VA," 1,683 ", 393 
Warren, VA," 1,795 ", 411 
Washington, VA," 2,753 ", 363 
Westmoreland, VA, 655 , 167 
Wise, VA," 1,824 ", 133 
Wythe, VA, 892 , 125 
York, VA," 3,737 "," 1,012 "
Alexandria, VA," 6,810 "," 5,345 "
Bedford, VA, 210 , 38 
Bristol, VA, 833 , 147 
Buena Vista, VA, 342 , 68 
Charlottesville, VA," 8,609 "," 2,604 "
Chesapeake, VA," 12,151 "," 2,690 "
Clifton Forge, VA, -   , -   
Colonial Heights, VA, 757 , 92 
Covington, VA, 149 , 57 
Danville, VA," 2,459 ", 291 
Emporia, VA, 141 , 6 
Fairfax, VA," 1,709 ", 446 
Falls Church, VA, 620 , 344 
Franklin, VA, 261 , 73 
Fredericksburg, VA," 3,357 ", 213 
Galax, VA, 344 , 37 
Hampton, VA," 12,798 "," 1,935 "
Harrisonburg, VA," 15,783 ", 630 
Hopewell, VA," 1,116 ", 81 
Lexington, VA," 3,219 ", 205 
Lynchburg, VA," 11,120 "," 1,319 "
Manassas, VA," 1,268 ", 313 
Manassas Park, VA, 416 , 161 
Martinsville, VA, 566 , 101 
Newport News, VA," 15,185 "," 2,365 "
Norfolk, VA," 19,843 "," 3,582 "
Norton, VA, 121 , 25 
Petersburg, VA," 1,053 ", 186 
Poquoson, VA, 485 , 140 
Portsmouth, VA," 5,462 "," 1,404 "
Radford, VA," 7,259 ", 280 
Richmond, VA," 18,876 "," 4,828 "
Roanoke, VA," 4,513 ", 836 
Salem, VA," 2,714 ", 269 
South Boston, VA, -   , -   
Staunton, VA," 1,259 ", 170 
Suffolk, VA," 3,241 "," 1,093 "
Virginia Beach, VA," 27,429 "," 6,775 "
Waynesboro, VA, 619 , 181 
Williamsburg, VA," 4,986 ", 683 
Winchester, VA," 1,315 ", 479 
WASHINGTON,," 351,303 "," 68,847 "
Adams, WA, 327 , 60 
Asotin, WA, 789 , 117 
Benton, WA," 6,916 "," 1,119 "
Chelan, WA," 2,065 ", 203 
Clallam, WA," 2,627 ", 466 
Clark, WA," 18,563 "," 3,212 "
Columbia, WA, 69 , 26 
Cowlitz, WA," 4,536 ", 320 
Douglas, WA," 1,451 ", 143 
Ferry, WA, 226 , 17 
Franklin, WA," 2,612 ", 344 
Garfield, WA, 53 , 8 
Grant, WA," 2,612 ", 448 
Grays Harbor, WA," 2,621 ", 289 
Island, WA," 3,376 ", 441 
Jefferson, WA, 738 , 207 
King, WA," 105,288 "," 32,007 "
Kitsap, WA," 10,802 "," 1,907 "
Kittitas, WA," 8,153 ", 613 
Klickitat, WA, 766 , 42 
Lewis, WA," 2,389 ", 384 
Lincoln, WA, 230 , 20 
Mason, WA," 2,614 ", 370 
Okanogan, WA, 920 , 104 
Pacific, WA, 562 , 74 
Pend Oreille, WA, 302 , 20 
Pierce, WA," 39,651 "," 6,748 "
San Juan, WA, 290 , 82 
Skagit, WA," 4,618 ", 635 
Skamania, WA, 393 , 23 
Snohomish, WA," 29,797 "," 5,341 "
Spokane, WA," 31,275 "," 4,714 "
Stevens, WA, 952 , 181 
Thurston, WA," 12,943 "," 2,224 "
Wahkiakum, WA, 96 , 19 
Walla Walla, WA," 5,698 ", 346 
Whatcom, WA," 22,425 "," 1,749 "
Whitman, WA," 14,260 "," 2,509 "
Yakima, WA," 7,298 "," 1,315 "
WEST VIRGINIA,," 92,815 "," 17,515 "
Barbour, WV, 885 , 71 
Berkeley, WV," 3,943 "," 1,131 "
Boone, WV, 384 , 89 
Braxton, WV, 255 , 49 
